Year,TS,AA,YD,PDMAZ,IMMAZ,DMMAZ,DOMMAZ,FEED,FOOD,PROC,STV,LOSS,SEED,EXMAZ,NETEXP
1993,1090.31,250.3,4355.16,1090.1,0.21,1090.31,602.56,432.4,25.66,106.7,0,28.8,9,487.75,487.54
1994,1036.2,244.5,4237.15,1036,0.2,1036.2,620.2,443.25,12.91,129.03,0,28.2,6.81,416,415.8
1995,1140.97,252.18,4522.27,1140.4,0.56,1140.97,539.81,352.38,22.23,128.85,0,30.8,5.55,601.15,600.59
1996,1053.26,260.37,4039.72,1051.83,1.43,1053.26,410.07,222.26,22.32,129.11,0,29,7.38,643.19,641.76
1997,1556.86,341.04,4555.74,1553.68,3.18,1556.86,457.13,260.55,21.92,128.82,0,39,6.84,1099.73,1096.55
1998,1937.3,318.54,6077.95,1936.07,1.23,1937.3,689.69,278.32,24.45,127.76,200,48.17,11,1247.6,1246.37
1999,1351.11,251.47,5370.17,1350.41,0.7,1351.11,558.17,225.39,31.98,139.58,100,54.23,7,792.94,792.24
2000,1679.51,308.87,5432.89,1678.07,1.44,1679.51,589.93,251.24,39.76,136.41,100,54.51,8,1089.58,1088.14
2001,1537.13,281.55,5455.29,1535.94,1.19,1537.13,439.58,205.1,39.75,137.23,0,49.5,8,1097.55,1096.36
2002,1471.78,242.01,6079.06,1471.21,0.57,1471.78,518.62,195.53,39.57,136.51,100,39.5,7.5,953.16,952.59
2003,1505.26,232.29,6476.73,1504.45,0.81,1505.26,306.93,234.77,39.6,135.6,-150,39.46,7.5,1198.33,1197.52
2004,1495.67,233.86,6393.06,1495.08,0.59,1495.67,419.48,227.52,39.83,135.18,-20,29.46,7.5,1076.19,1075.6
2005,2048.77,278.34,7358.74,2048.26,0.51,2048.77,576.56,353.13,39.08,135.37,0,39.48,9.5,1472.2,1471.69
2006,1445.25,244.72,5902.97,1444.55,0.7,1445.25,396.96,372.91,39.58,134.5,-200,39.47,10.5,1048.29,1047.59
2007,2176.25,283.81,7665.54,2175.54,0.72,2176.25,668.65,443.12,38.92,134.63,0,39.47,12.5,1507.6,1506.89
2008,2202.47,341.22,6452.5,2201.69,0.78,2202.47,652.34,430.06,38.66,135.17,0,39.45,9,1550.13,1549.35
2009,1312.57,235.32,5576.03,1312.14,0.44,1312.57,437.29,233.94,40.35,134.53,0,19.48,9,875.28,874.85
2010,2267.22,290.4,7804,2266.31,0.91,2267.22,483.05,241.93,40.58,144.85,-2.47,40.1,18.05,1784.17,1783.26
2011,2380.61,374.78,6350.28,2379.98,0.63,2380.61,746.09,499.94,40.5,140.85,0,44.8,20,1634.52,1633.89
2012,2380.72,374.78,6350.28,2379.98,0.74,2380.72,595.18,457.32,40.42,141.8,-111.54,40.98,26.2,1785.54,1784.8
2013,3211.92,486.38,6603.7,3211.92,0,3211.92,1607.3,950,50.82,345.82,170,55.31,35.36,1604.62,1604.62
2014,3308.72,483.67,6840.9,3308.72,0,3308.72,1716.22,1050,42.63,380.19,150,56.97,36.42,1592.5,1592.5
2015,3381.77,462.69,7309,3381.77,0,3381.77,1682.12,1150,48.58,388.08,0,58.23,37.23,1699.65,1699.65
2016,3979.29,534.66,7442.7,3979.29,0,3979.29,1791.19,1200,51.75,427.11,0.01,68.51,43.81,2188.09,2188.09
2017,4346.69,713.86,6088.01,4346,0.69,4346.69,2085.11,1550,158.27,288.67,-34.5,74.82,47.85,2261.59,2260.9
2018,5700.52,723.28,7880.81,5700,0.52,5700.52,2225.65,1577,160.57,265.78,61.42,98.13,62.75,3474.87,3474.35
2019,5850.4,773.05,7567.42,5850,0.4,5850.4,2347.63,1753,162.37,255.71,11.42,100.72,64.41,3502.77,3502.37
2020,6050.4,814.66,7426.41,6050,0.4,6050.4,2159.21,1725,164.7,87.32,11.42,104.16,66.61,3891.19,3890.79
