Year,TS,AA,YD,PDMAZ,IMMAZ,DMMAZ,DOMMAZ,FEED,FOOD,PROC,STV,LOSS,SEED,EXMAZ,NETEXP
1993,3137.9,1186.97,2532.13,3005.56,132.33,3137.9,3135.71,2442.46,340.98,2.17,0,313.79,36.31,2.19,-130.14
1994,3389.85,1374.88,2362.94,3248.76,141.09,3389.85,3388.07,2684.74,326.95,1.95,0,338.96,35.46,1.78,-139.31
1995,3757.66,1394.63,2600.47,3626.7,130.97,3757.66,3755.27,2739.61,306.51,2.24,300,375.76,31.15,2.39,-128.58
1996,3250.83,1193.38,2696.98,3218.52,32.32,3250.83,3214.04,2818.55,306.03,2.31,-300,355.08,32.06,36.79,4.48
1997,3348.47,1256.21,2622.81,3294.8,53.66,3348.47,3310.45,2619.44,325.81,2.29,0,334.83,28.09,38.01,-15.65
1998,3133.18,1058.55,2796.44,2960.18,173,3133.18,3130.67,2497.89,285.75,2.67,0,313.31,31.05,2.5,-170.5
1999,3286.06,1161.15,2759.13,3203.76,82.3,3286.06,3282.74,2634.91,285.26,2.35,0,328.6,31.62,3.32,-78.98
2000,3365.16,1161.47,2744.74,3187.94,177.22,3365.16,3362.28,2718.7,272.23,3.96,0,336.51,30.89,2.87,-174.34
2001,4257.98,1233.03,3402.62,4195.53,62.45,4257.98,3693.11,2896.74,337.47,3.63,0,425.8,29.48,564.87,502.41
2002,3627.85,1175.09,3057.89,3593.3,34.55,3627.85,3348.04,2577.93,372.22,2.7,0,362.78,32.41,279.81,245.26
2003,4912.65,1296.57,3727.33,4832.73,79.91,4912.65,4549.67,2556.36,465.53,4.36,1000,491.25,32.16,362.97,283.06
2004,4212.1,1241.07,3367.07,4178.76,33.35,4212.1,3702.78,2806.7,440.19,4.08,0,421.18,30.62,509.32,475.97
2005,3571.1,1154.94,3040.26,3511.33,59.76,3571.1,3454.64,2824.18,417.89,2.97,-200,377.1,32.49,116.46,56.69
2006,4361.88,1261.31,3382.33,4266.17,95.72,4361.88,3955.83,2925.85,457.28,1.49,100,436.18,35.03,406.06,310.34
2007,5320.89,1376.74,3785.19,5211.22,109.67,5320.89,4216.57,3164.88,476.26,6.49,0,532.08,36.87,1104.32,994.65
2008,5971.21,1444.46,4079.96,5893.33,77.87,5971.21,5316.81,4197.26,479.52,7.63,0,597.03,35.36,654.4,576.53
2009,5188.78,1365.47,3714.45,5071.98,116.8,5188.78,4395.4,3364.65,472.9,6.87,0,518.57,32.41,793.38,676.59
2010,5587.43,1267.89,4366.65,5536.43,51,5587.43,4494.41,3416.51,475.97,9.65,0,558.27,34.01,1093.02,1042.02
2011,5634.26,1321.89,4210.66,5566.02,68.24,5634.26,4672.41,3585.04,478.76,7.78,0,563.17,37.66,961.85,893.61
2012,7190.33,1419.85,5005.66,7107.28,83.04,7190.33,5210.13,3509.42,462.31,7.21,644.29,547.64,39.27,1980.19,1897.15
2013,8115.92,1527.97,5253.6,8027.32,88.6,8115.92,5621.12,4017.6,480,160.63,300,618.53,44.35,2494.8,2406.2
2014,8067.06,1543.28,5176.1,7988.16,78.9,8067.06,5970.36,4030,490,190.71,600,615.51,44.14,2096.7,2017.8
2015,8561.31,1540.71,5535.3,8528.31,33,8561.31,5115.31,4420.5,495,175.55,-680,657.13,47.12,3446,3413
2016,6756.64,1495.88,4288,6414.34,342.3,6756.64,5357.04,4207.75,500,439.61,-320,494.24,35.44,1399.6,1057.3
2017,8163.29,1661.64,4857.22,8070.95,92.34,8163.29,5869.16,4380,510,612.68,-300,621.89,44.59,2294.13,2201.79
2018,10150.15,1749.29,5719.05,10004.27,145.88,10150.15,5877.74,4568.6,515,-31.98,0,770.85,55.27,4272.41,4126.53
2019,10395.77,1852.73,5537.04,10258.64,137.13,10395.77,6955.73,4739.3,519,750.3,100,790.45,56.68,3440.04,3302.91
2020,8978.22,1993.15,4366.14,8702.38,275.84,8978.22,6875.92,4950,519,788.3,-100,670.54,48.08,2102.3,1826.46
