Year,TS,AA,YD,PDMAZ,IMMAZ,DMMAZ,DOMMAZ,FEED,FOOD,PROC,STV,LOSS,SEED,EXMAZ,NETEXP
1993,805.46,78.69,3102.23,244.11,561.35,805.46,804.24,460.6,6,19.64,308.9,6.5,2.59,1.23,-560.13
1994,179.48,52.41,1701.97,89.2,90.28,179.48,176.56,383,5.67,3.44,-220,2.7,1.75,2.92,-87.36
1995,199.96,62.96,2761.28,173.85,26.11,199.96,199.45,513,2.73,5.82,-326.6,2.7,1.8,0.51,-25.6
1996,131.42,62.24,1748.3,108.82,22.6,131.42,130.88,75,2.73,5.95,43.2,2,2,0.54,-22.06
1997,301.59,84.55,3163.34,267.46,34.13,301.59,301,180,2.93,10.42,100.6,4.85,2.2,0.59,-33.54
1998,94.1,50.15,1636.25,82.06,12.05,94.1,93.33,224.9,4.27,6.95,-147,2,2.2,0.78,-11.27
1999,182.48,54.24,1971.18,106.92,75.56,182.48,182.32,164.1,5.51,8.31,0,2.2,2.2,0.16,-75.41
2000,231.32,72.09,2122.75,153.03,78.29,231.32,230.97,120,5.74,13.03,86.9,2.9,2.4,0.35,-77.94
2001,111.8,46.73,1813.01,84.72,27.08,111.8,111.69,174.5,5.43,13.52,-86.9,2.4,2.75,0.11,-26.97
2002,206.05,54.68,2858.25,156.29,49.76,206.05,205.58,171.4,7.49,21.07,0,2.46,3.16,0.47,-49.29
2003,236.54,65.91,3219.39,212.19,24.35,236.54,234.34,171.7,6.15,47.25,0,5.2,4.04,2.2,-22.15
2004,401.2,87.04,4039.17,351.57,49.63,401.2,398.89,263.9,8.04,64.35,50,8.8,3.8,2.31,-47.32
2005,346.28,83.05,3866.07,321.08,25.2,346.28,338.78,272.4,9.26,94.87,-50,7.5,4.75,7.5,-17.7
2006,389.73,97.1,3615.19,351.04,38.69,389.73,383.78,238.5,13.01,116.59,0,8.8,6.88,5.95,-32.74
2007,397.69,129.63,2930.01,379.8,17.89,397.69,392.19,219.3,8.44,146.98,0,9.5,7.97,5.51,-12.38
2008,714.1,173.17,3858.81,668.23,45.87,714.1,694.1,522.4,9.72,139.38,0,16.6,6,20,-25.87
2009,405.62,112.22,3531.84,396.34,9.27,405.62,269.64,459.8,11.69,133.65,-350,8.5,6,135.97,126.7
2010,317.5,102.52,3008.53,308.44,9.06,317.5,294.28,459.4,8.64,111.54,-300,7.5,7.2,23.22,14.16
2011,713.19,160.26,4344.47,696.24,16.94,713.19,640.72,490.3,9.24,115.88,0,16.7,8.6,72.47,55.53
2012,825.38,193.75,4238.93,821.29,4.09,825.38,605.73,436.74,7.9,86.03,50.36,14.4,10.3,219.66,215.57
2013,1169.28,232.19,5011,1163.49,5.78,1169.28,764.28,507.66,8.4,125.05,88.18,20.4,14.59,405,399.22
2014,1138.39,259.95,4359.3,1133.21,5.18,1138.39,737.69,662.11,9,125.51,-93,19.87,14.21,400.7,395.52
2015,1321.52,267.01,4933.7,1317.33,4.19,1321.52,848.92,524.57,10,144.34,130.39,23.1,16.52,472.6,468.41
2016,1535.15,277.7,5513,1530.98,4.16,1535.15,1000.15,675.89,10,138.33,129.88,26.84,19.2,535,530.84
2017,1328.84,270.2,4898.5,1323.57,5.26,1328.84,755.64,620.08,20,115.76,-40,23.2,16.6,573.2,567.94
2018,1146.32,245.2,4657.01,1141.9,4.42,1146.32,856.05,635.26,20,116.45,50,20.02,14.32,290.27,285.85
2019,1431.55,259.3,5508.02,1428.23,3.32,1431.55,1013.84,830.32,20,110.57,10,25.04,17.91,417.71,414.39
2020,1393.03,285.57,4860.1,1387.9,5.13,1393.03,967.43,791.1,20,114.59,0,24.33,17.41,425.6,420.47
