Year,TS,AA,YD,PDMAZ,IMMAZ,DMMAZ,DOMMAZ,FEED,FOOD,PROC,STV,LOSS,SEED,EXMAZ,NETEXP
1993,416.8,133.1,2844.48,378.6,38.2,416.8,416.8,303.8,56.68,37.82,0,15.5,3,0,-38.2
1994,158.44,65.19,2361.41,153.94,4.5,158.44,157.4,163.15,39,26.05,-80,5.7,3.5,1.04,-3.46
1995,343.33,116.13,2920.69,339.18,4.15,343.33,342.11,164.02,52.2,32.07,80,11.8,2.02,1.23,-2.93
1996,184.95,67.13,2736.48,183.7,1.25,184.95,167.75,170.6,43.4,28.36,-80,3.3,2.1,17.19,15.95
1997,535.4,163.65,3262.76,533.95,1.45,535.4,527.25,250.86,35.47,33.52,190.8,14.7,1.9,8.15,6.71
1998,230.93,90.79,2534.2,230.08,0.85,230.93,171.94,182.93,50.93,39.08,-114.1,12.1,1,58.99,58.14
1999,175.96,68.87,2522,173.69,2.27,175.96,144.99,154.44,31.07,20.99,-74,10.9,1.6,30.97,28.7
2000,394.07,127.88,3009.15,384.81,9.26,394.07,374.36,211.09,51.43,39.75,45.6,25,1.5,19.71,10.45
2001,364.41,112.28,3242.52,364.07,0.34,364.41,324.93,219.38,45.37,37.57,0,21,1.6,39.48,39.14
2002,418.65,118.87,3516.7,418.03,0.62,418.65,367.1,280.32,45.33,59.54,-45.6,25,2.5,51.55,50.93
2003,690.5,198.88,3456.91,687.51,2.99,690.5,594.64,437.05,48.53,68.36,0,38,2.7,95.86,92.87
2004,889,229.96,3855.8,886.68,2.32,889,762.28,578.81,44.12,88.47,0,49,1.88,126.72,124.4
2005,718.72,165.95,4318.53,716.66,2.06,718.72,435.69,236.08,49.33,106.27,0,42,2,283.03,280.97
2006,645.02,172.03,3735.16,642.56,2.46,645.02,471.61,272.38,53.33,107.6,0,36,2.3,173.41,170.95
2007,746.21,190.28,3900.09,742.11,4.1,746.21,645.08,438.02,45.33,117.32,0,41.6,2.8,101.13,97.03
2008,1148.5,244.01,4691.12,1144.68,3.82,1148.5,860.9,664.38,52,78.16,0,64,2.36,287.61,283.79
2009,1050.92,208.91,5019.53,1048.63,2.29,1050.92,327.07,143.58,53.33,71.18,0,56,2.98,723.86,721.56
2010,1198.5,264.76,4514.65,1195.3,3.2,1198.5,904.83,727.59,53.33,72.43,0,47.5,3.98,293.67,290.47
2011,2288.88,354.37,6444.65,2283.79,5.09,2288.88,1501.5,1282.65,53.33,58.21,22.22,80,5.09,787.37,782.29
2012,2101.22,437.19,4794.55,2096.13,5.09,2101.22,1313.84,1224.02,52.25,48,-78.5,63,5.09,787.37,782.29
2013,3100.61,482.69,6411.9,3094.96,5.66,3100.61,1101.02,695.21,49.16,88.39,167.73,93.01,7.52,1999.59,1993.93
2014,2855.68,462.69,6158.9,2849.68,6,2855.68,981.06,696.63,48.76,50.13,92.98,85.64,6.92,1874.62,1868.62
2015,2338.76,408.35,5712.6,2332.76,6,2338.76,607.53,596.67,47.73,37.5,-150.14,70.11,5.66,1731.23,1725.23
2016,2813.46,425.22,6602.4,2807.46,6,2813.46,753.46,597.1,47.77,21.94,-4.54,84.37,6.82,2060,2054
2017,2472.38,442.9,5569.84,2466.88,5.5,2472.38,699.16,548.84,47.9,44.9,-22.6,74.13,5.99,1773.22,1767.72
2018,3583.46,456.42,7843.88,3580.11,3.35,3583.46,611.75,499.23,47.43,9.14,-60.34,107.59,8.7,2971.71,2968.36
2019,3590.91,498.69,7194.86,3588.01,2.9,3590.91,558.91,499.24,47.43,8.91,-113.22,107.83,8.72,3032.01,3029.11
2020,3031.05,539.21,5617.53,3029.03,2.02,3031.05,729.85,496.03,46.91,27.17,61.35,91.03,7.36,2301.2,2299.18
