Year,TS,AA,YD,PDMAZ,IMMAZ,DMMAZ,DOMMAZ,FEED,FOOD,PROC,STV,LOSS,SEED,EXMAZ,NETEXP
1993,16142.01,2546.8,6321.07,16098.5,43.51,16142.01,12066.95,11403.865,352.53,2984.24,-3207.7,482.955,51.05,4075.07,4031.55
1994,25578.69,2934.5,8699.71,25529.3,49.39,25578.69,21947.73,13101.661,359.67,5876.44,1797.6,765.879,46.48,3630.95,3581.57
1995,18836.76,2638.9,7123.01,18796.9,39.86,18836.76,12763.23,11355.003,366.15,3302.2,-2875.2,563.907,51.17,6073.53,6033.67
1996,23501.58,2939.8,7977.65,23452.7,48.88,23501.58,18203.99,12700.129,372.45,3214.97,1161.4,703.581,51.46,5297.59,5248.71
1997,23427.36,2940.9,7952.23,23386.7,40.66,23427.36,19184.65,13142.599,379.63,3830.25,1078.7,701.601,51.87,4242.71,4202.05
1998,24829.66,2937.6,8438.25,24788.2,41.46,24829.66,20561.38,13105.434,383.04,5062.03,1217.1,743.646,50.13,4268.27,4226.82
1999,24010.91,2852.5,8397.86,23954.9,56.01,24010.91,18758.67,13613.973,383.72,4167.2,-176.3,718.647,51.43,5252.23,5196.23
2000,25226.21,2931.57,8591.02,25185.22,40.99,25226.21,20369.79,14032.4634,384.23,4687.32,461.2,755.5566,49.02,4856.42,4815.43
2001,24170.98,2782.97,8673.28,24137.5,33.48,24170.98,19323.33,14131.695,385.82,4799.64,-768.9,724.125,50.94,4847.65,4814.18
2002,22821.49,2805.72,8117.91,22776.54,44.95,22821.49,17985.06,13409.4138,387.07,4749.34,-1294.8,683.2962,50.73,4836.43,4791.48
2003,25675.01,2871.03,8924.57,25622.73,52.28,25675.01,21277.54,13915.6681,387.87,6479.7,-326.6,768.6819,52.22,4397.47,4345.19
2004,30043.61,2979.77,10063.64,29987.36,56.25,30043.61,25111.78,14683.4692,387.87,6152.01,2936,899.6208,52.81,4931.83,4875.57
2005,28276.12,3039.9,9285.2,28226.07,50.05,28276.12,23682.35,14685.4779,388.66,8083.79,-372.9,846.7821,50.53,4593.77,4543.72
2006,26790.17,2858.65,9357.6,26750.11,40.06,26790.17,20919.93,13269.4367,388.67,8084.41,-1685.4,802.5033,60.31,5870.24,5830.18
2007,33173.53,3501.38,9458.42,33117.51,56.03,33173.53,27381.61,13885.1347,388.66,11244.71,814.1,993.5253,55.48,5791.92,5735.9
2008,30792.11,3179.65,9659.62,30714.2,77.91,30792.11,25311.3,12240.484,388.66,11580.08,124.9,921.426,55.74,5480.81,5402.9
2009,33302.78,3216.88,10337.61,33254.86,47.92,33302.78,28453.21,12021.6342,391.34,14898.25,87.6,997.6458,56.74,4849.58,4801.66
2010,31673.65,3296.04,9592.27,31616.49,57.16,31673.65,26518.59,11241.7153,391.96,15351.6,-1473.6,948.4947,58.42,5155.06,5097.9
2011,31478.6,3398.92,9236.72,31394.86,83.74,31478.6,26833,10632.0342,391.96,15157.06,-352.2,941.8458,62.3,4645.59,4561.86
2012,27562.51,3535.94,7743.9,27382.01,180.5,27562.51,24409.52,10696.2497,390.29,12865.41,-426.3,821.4603,62.4,3152.99,2972.49
2013,35218.63,3539.05,9925.6,35127.19,91.45,34907.42,30037.86,11748.7943,409,15702.18,1044.02,1053.8157,80.05,4869.56,4778.12
2014,36190.4,3364.43,10732.6,36109.11,81.29,35870.49,31135.56,12417.8867,411.1,15873.45,1267.56,1083.2733,82.29,4734.93,4653.65
2015,34718.83,3267.84,10572.3,34548.63,170.19,34412.74,29592.38,11994.1511,415.9,15886.78,180.35,1036.4589,78.73,4820.36,4650.17
2016,38622.58,3510.62,10960.4,38477.79,144.79,38281.69,32457.01,12722.7763,419.7,16825.27,1247.24,1154.3337,87.69,5824.68,5679.89
2017,37188.53,3346.76,11084.47,37097.08,91.45,37188.53,30995.52,12707.26,524.5,16954.96,-388.65,1112.91,84.54,6193.01,6101.56
2018,36497.59,3290.11,11071.52,36426.47,71.13,36497.59,31252.07,12037.95,525,17307.55,205.76,1092.79,83.02,5245.51,5174.39
2019,34704.21,3290.11,10515.63,34597.52,106.69,34704.21,30187.74,12359.85,530,16948.25,-767.14,1037.93,78.85,4516.48,4409.79
2020,35945.73,3330.57,10762.34,35844.76,100.97,35945.73,28952.56,13808.06,535,14384.72,-932.25,1075.34,81.69,6993.17,6892.21
