YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,614.8049905,46.30001,27.70001,187.755837,709.28201,2471.107431,1104.152646,265.00001,871.57001,38.27855004,252.4492532,163.29061
2017,634.6,47.1,28.1,192.517,722.051,2465.701,1153.158,283.727,892.328,37.232,248.501,156.927
2018,644,47.6,27.9,198.036,732.981,2527.535,1185.951,306.584,921.464,36.783,257.001,160.814
2019,667,47.092,28.6,202.732,720.888,2571.694,1195.279,313.633,886.61,37.777,254.001,162.516
2020,672,47.746,28.7,207.6,715.065,2529.308,1195.208,317.147,869.269,35.076,223.775,163.374
2021,683,48.223,31,205.722,713.907,2558.252,1226.338,299.524,862.147,32.708,249.801,164.163
2022,692.623,47.698,29.544,207.363,709.062,2632,1215.909,319.099,912.621,31.235,260.128,164.416
2023,692.844,47.491,29.694,209.621,701.216,2694.778,1219.774,322.163,918.873,31.3,261.212,164.771
2024,696.718,47.321,29.946,210.445,694.734,2732.748,1223.006,323.297,917.888,30.946,262.05,164.816
2025,699.423,47.15,30.178,211.468,689.571,2761.881,1228.151,326.375,925.7,30.581,262.844,165.11
2026,704.294,46.922,30.304,212.531,685.07,2793.047,1232.588,329.201,928.382,30.251,263.881,165.486
2027,709.57,46.687,30.419,213.6,680.14,2827.889,1237.107,331.784,930.837,29.974,265.157,165.822
2028,713.814,46.395,30.526,214.673,675.17,2863.125,1241.33,334.272,932.676,29.686,266.099,166.131
2029,716.617,46.226,30.637,215.721,668.821,2896.974,1245.463,336.654,934.213,29.379,266.829,166.411
2030,719.021,46.108,30.752,216.753,665.163,2930.42,1249.431,339.074,935.541,29.079,267.545,166.685
2031,721.571,45.98,30.855,216.754,661.168,2965.183,1253.62,341.54,937.732,28.789,268.278,166.946
2032,723.3535,45.91606,30.95695,216.7075,661.1019,3000.007,1257.609,343.9892,937.6382,28.49797,268.8818,167.1906
2033,723.9917,45.89759,31.06087,216.6142,661.0358,3033.784,1261.603,346.3853,937.5445,28.19773,269.2769,167.414
2034,723.9258,45.98236,31.16928,216.4653,660.9697,3066.848,1265.452,348.7618,937.4507,27.89619,269.6221,167.6219
2035,722.8914,46.11057,31.27755,216.2716,660.9036,3099.481,1269.222,351.1068,937.357,27.59042,269.7812,167.8115
2036,720.9164,46.31145,31.3881,216.0282,660.8375,3131.406,1272.912,353.416,937.2632,27.27939,269.7988,167.9826
2037,717.8632,46.58355,31.50067,215.7308,660.7714,3162.633,1276.483,355.6922,937.1695,26.96381,269.6415,168.1349
2038,713.8243,46.92705,31.6159,215.3825,660.7053,3193.079,1279.982,357.935,937.0758,26.64364,269.3324,168.2691
2039,708.7418,47.34065,31.7325,214.9822,660.6393,3222.989,1283.356,360.148,936.9821,26.3196,268.849,168.385
2040,702.4773,47.81966,31.85098,214.5293,660.5732,3252.113,1286.648,362.3221,936.8884,25.98958,268.1595,168.4812
2041,704.1869,48.3791,31.97219,214.0207,660.5072,3280.47,1289.826,364.4636,936.7947,25.7646,268.0952,168.5589
2042,705.2634,49.00708,32.09514,213.4585,660.4412,3308.131,1292.9,366.571,936.701,25.53807,267.8957,168.6173
2043,705.7064,49.70863,32.22018,212.8413,660.3751,3335.04,1295.869,368.6426,936.6074,25.31011,267.5588,168.6564
2044,705.4587,50.48479,32.34737,212.1673,660.3091,3361.172,1298.723,370.6782,936.5137,25.08044,267.0665,168.6758
2045,704.534,51.33685,32.47691,211.4365,660.243,3386.491,1301.47,372.6776,936.42,24.84918,266.4237,168.6756
2046,702.9056,52.26471,32.60852,210.6482,660.177,3411.047,1304.097,374.6417,936.3264,24.61635,265.6206,168.6557
2047,700.552,53.26755,32.74227,209.8017,660.111,3434.78,1306.611,376.5678,936.2328,24.38186,264.6501,168.6155
2048,697.4526,54.34969,32.87842,208.8956,660.0449,3457.668,1309.004,378.4568,936.1392,24.14571,263.5048,168.5553
2049,693.5891,55.5094,33.01679,207.9296,659.9789,3479.718,1311.275,380.3082,936.0455,23.90788,262.1786,168.4746
2050,688.946,56.74802,33.15743,206.9029,659.913,3500.909,1313.423,382.1215,935.9519,23.66839,260.6653,168.3734
2051,695.4419,58.06643,33.30039,205.8145,659.847,3521.221,1315.444,383.896,935.8583,23.42717,260.1992,168.2514
2052,701.6259,59.46579,33.44575,204.6636,659.781,3540.628,1317.336,385.6313,935.7648,23.18421,259.618,168.1086
2053,707.4921,60.94666,33.59347,203.4494,659.715,3559.13,1319.095,387.3275,935.6712,22.93952,258.9179,167.9447
2054,713.0373,62.50948,33.74356,202.1712,659.649,3576.703,1320.721,388.9835,935.5776,22.69306,258.096,167.7594
2055,718.2539,64.15581,33.89612,200.8279,659.5831,3593.323,1322.209,390.599,935.4841,22.44481,257.1478,167.5527
2056,723.1368,65.88612,34.05114,199.4186,659.5171,3608.979,1323.557,392.1738,935.3905,22.19475,256.0695,167.3244
2057,727.6807,67.70125,34.20863,197.9427,659.4511,3623.652,1324.763,393.7072,935.2969,21.94287,254.8573,167.0743
2058,731.8796,69.60207,34.36864,196.3991,659.3852,3637.323,1325.823,395.1988,935.2034,21.68913,253.5069,166.8021
2059,735.7275,71.58965,34.53121,194.787,659.3193,3649.969,1326.734,396.648,935.1099,21.43353,252.0139,166.5077
2060,739.2181,73.66484,34.69635,193.1054,659.2534,3661.576,1327.494,398.0545,935.0164,21.17604,250.374,166.1909
2061,742.3459,75.82824,34.86409,191.3534,659.1874,3672.122,1328.1,399.4178,934.9229,20.91664,250.2592,165.8516
2062,745.1044,78.08111,35.03446,189.53,659.1215,3681.586,1328.548,400.7373,934.8294,20.65531,250.0743,165.4895
2063,747.4872,80.42425,35.2075,187.6342,659.0556,3689.948,1328.835,402.0125,934.7359,20.39202,249.8178,165.1044
2064,749.4879,82.8584,35.38324,185.6653,658.9897,3697.189,1328.959,403.2431,934.6425,20.12676,249.4882,164.6961
2065,751.1002,85.38474,35.5617,183.6221,658.9238,3703.287,1328.915,404.4283,934.549,19.85951,249.0839,164.2645
2066,752.3173,88.00418,35.74292,181.5036,658.8578,3708.219,1328.701,405.5678,934.4556,19.59023,248.6035,163.8093
2067,753.1324,90.71758,35.92693,179.3089,658.792,3711.964,1328.313,406.6611,934.3621,19.31892,248.0452,163.3303
2068,753.5388,93.52586,36.11375,177.037,658.7261,3714.499,1327.747,407.7075,934.2687,19.04554,247.4074,162.8273
2069,753.5295,96.43015,36.30343,174.6867,658.6603,3715.802,1327.001,408.7066,934.1752,18.77007,246.6885,162.3002
2070,753.0975,99.4313,36.49599,172.2571,658.5944,3715.85,1326.07,409.6578,934.0818,18.4925,245.8867,161.7487
2071,752.2354,102.5303,36.69147,169.7471,658.5286,3714.619,1324.951,410.5607,933.9884,18.21279,247.0588,161.1726
2072,750.936,105.7282,36.88991,167.1556,658.4627,3712.084,1323.639,411.4145,933.895,17.93093,248.209,160.5718
2073,749.1918,109.0261,37.09132,164.4816,658.3969,3708.223,1322.133,412.2189,933.8016,17.64688,249.3371,159.9458
2074,746.9955,112.4247,37.29576,161.7239,658.331,3703.008,1320.426,412.9732,933.7083,17.36062,250.4429,159.2947
2075,744.3391,115.9254,37.50325,158.8814,658.2651,3696.415,1318.516,413.6768,933.6149,17.07214,251.5261,158.6181
2076,741.2149,119.5291,37.71382,155.953,658.1993,3688.418,1316.398,414.3293,933.5215,16.7814,252.5864,157.9159
2077,737.6149,123.2367,37.92752,152.9376,658.1335,3678.992,1314.069,414.9301,933.4282,16.48838,253.6236,157.1878
2078,733.5313,127.0495,38.14437,149.834,658.0677,3668.107,1311.523,415.4784,933.3348,16.19306,254.6374,156.4336
2079,728.9556,130.9684,38.36442,146.641,658.0019,3655.739,1308.757,415.9738,933.2415,15.8954,255.6275,155.6531
2080,728.9556,130.9684,38.36442,146.641,658.0019,3655.739,1308.757,415.9738,933.2415,15.8954,255.6275,155.6531
2080,723.8797,134.9946,38.5877,143.3575,657.9361,3641.858,1305.767,416.4156,933.1482,15.59538,256.5937,154.8461
