YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,3121.687023,-13.8,17.5,250,-3449.809998,-193.771261,1247.2382,0.01,-320,-4.539013672,50,129.88158
2017,-1113.7,-13.8,16.945,90,520.327,-105.93,-388.651,-34.501,-300,-22.6,107.707,-40
2018,-2008.1,7.7,-90.741,-20,500.827,-90.321,205.756,61.421,0,-60.343,-23.045,50
2019,-1295.4,45.5,-2.87,-15,-201.818,490.668,-767.14,11.422,100,-113.219,85.808,10
2020,535.5,39.6,57.3,-65,-417.071,213.014,-932.254,11.421,-100,61.351,4.855,0
2021,258.5,-25.1,7,-100,-149.709,-52.268,150,11.422,42,1479.979,25,250
2022,-429.401,-33.453,-10.477,2.2,-9.719,154.748,150.496,12.741,199.837,-596.422,9.794,-19.55
2023,-400.448,-33.573,-10.75,5.781,1.312,245.561,198.678,12,28.646,-386.625,12.519,4.977
2024,-307.721,-0.442,-10.88,0.123,-12.804,105.089,177.369,6.796,7.997,-245.375,11.121,3.349
2025,99.305,-4.043,-0.645,1.839,-2.448,9.991,89.038,9.485,17.282,-153.449,13.365,3.788
2026,103.422,-4.519,-0.757,3.404,3.23,-14.262,60.601,11.117,22.982,-76.18,14.728,4.614
2027,119.778,-1.925,0.104,4.409,5.369,0.363,61.916,11.915,27.026,-14.286,14.376,5.189
2028,192.041,-0.038,0.636,8.146,1.624,51.081,82.886,15.616,40.532,-5.292,16.43,6.379
2029,212.44,0.307,0.541,7.866,1.815,66.315,73.961,14.507,39.086,-4.031,16.13,6.536
2030,201.542,-0.778,0.415,6.263,-1.169,73.579,89.444,11.738,33.135,-4.675,15.549,6.174
2031,176.335,-0.722,0.497,5.004,0.812,67.771,88.647,8.782,26.858,-5.171,15.213,3.643
2032,167.51825,-0.6859,0.47215,4.7538,0.7714,64.38245,84.21465,8.3429,25.5151,-4.91245,14.45235,3.46085
