YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,6.644477829,108.7929,1160.7675,18.66405833,0.903421436,1,1,14.75817509,3.491313422,25.55133412,67.19531281,67.05593333
2017,6.758755086,112.1661411,1131.000833,18.92651667,0.885205508,1,1,16.56270693,3.191389446,26.5966063,65.12156865,58.34280119
2018,6.615957177,110.4231793,1100.163333,19.24434167,0.846772667,1,1,28.09499167,3.653825361,27.20049233,68.38946709,62.66813333
2019,6.90838501,109.0096659,1165.3575,19.26363333,0.893276257,1,1,48.14789167,3.944471097,25.84558933,70.42034054,64.73765833
2020,6.900767269,106.7745823,1180.265833,21.48560833,0.875506397,1,1,70.53916667,5.155178788,26.95752438,74.09956688,72.10490833
2021,6.44897518,109.7543238,1143.951667,20.27240833,0.845494139,1,1,94.99074167,5.39440079,27.28618938,73.91801282,73.65435
2022,6.737158112,131.4981404,1291.446667,20.12735,0.949623753,1,1,130.61655,5.163970291,32.3423016,78.60449058,68.48494167
2023,7.035498137,134.7458605,1303.303035,18.37692091,0.898302691,1,1,124.3414757,5.029605089,32.8231394,81.72728249,79.07833053
2024,6.732223754,130.0001157,1266.793212,20.31983056,0.87132797,1,1,115.7274452,4.99316498,29.34102544,80.1396592,82.69732766
2025,6.605062315,125.8260336,1257.442133,20.71074874,0.859098698,1,1,109.7568649,5.020460851,25.57655259,78.98702967,82.2884544
2026,6.514646637,120.8066987,1246.633525,20.94268779,0.852258599,1,1,104.9841821,5.018517743,22.96013772,78.09493678,81.8185718
2027,6.507040059,115.5505025,1238.739415,20.95580321,0.849987794,1,1,102.8279706,5.025153273,20.80416845,76.6990972,82.91532088
2028,6.487518939,114.8571995,1233.784457,21.22822865,0.845737855,1,1,99.94878739,5.02012812,19.01500996,75.62530984,83.16406684
2029,6.468056382,114.1680563,1228.849319,21.50419563,0.841509165,1,1,97.15022134,5.015107992,17.37971911,74.5665555,83.41355904
2030,6.448652213,113.483048,1223.933922,21.78375017,0.83730162,1,1,94.43001514,5.010092884,15.88506326,73.52262372,83.66379972
2031,6.409457852,113.8628883,1232.236591,21.94101036,0.836486791,1,1,94.3741267,4.973216376,15.05099853,73.48320249,84.73745298
2032,6.37050171,114.244,1240.595583,22.09940584,0.835672755,1,1,94.31827133,4.936611295,14.26072739,73.4438024,85.82488438
2033,6.331782341,114.6263873,1249.011278,22.25894481,0.834859511,1,1,94.26244902,4.900275643,13.5119504,73.40442344,86.92627073
2034,6.293298305,115.0100545,1257.484062,22.4196355,0.834047058,1,1,94.20665975,4.864207439,12.80248887,73.36506559,88.04179112
2035,6.255048172,115.3950059,1266.014321,22.58148625,0.833235397,1,1,94.1509035,4.828404712,12.13027849,73.32572884,89.17162692
2036,6.21703052,115.7812458,1274.602447,22.74450542,0.832424525,1,1,94.09518025,4.792865509,11.49336334,73.28641319,90.31596185
2037,6.179243935,116.1687784,1283.248831,22.90870146,0.831614442,1,1,94.03948997,4.757587891,10.8898902,73.24711861,91.47498197
2038,6.141687015,116.5576082,1291.953868,23.07408284,0.830805147,1,1,93.98383266,4.722569931,10.31810316,73.20784511,92.64887573
2039,6.104358362,116.9477394,1300.717957,23.24065815,0.82999664,1,1,93.92820829,4.687809719,9.776338493,73.16859266,93.83783401
2040,6.06725659,117.3391764,1309.541498,23.40843598,0.82918892,1,1,93.87261684,4.653305358,9.263019848,73.12936125,95.04205014
2041,6.034067946,117.6926489,1317.536555,23.56052612,0.82846268,1,1,93.82261415,4.622480004,8.82529025,73.09407192,96.13975293
