YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,100,100,100,100,100,100,100,100,100,100,100,100
2017,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181,102.9407181
2018,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257,98.37058257
2019,109.285881,109.285881,109.285881,109.285881,109.285881,109.285881,109.285881,109.285881,109.285881,109.285881,109.285881,109.285881
2020,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994,107.8022994
2021,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197,96.9664197
2022,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628,166.8829628
2023,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358,250.8807358
2024,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732,211.4450732
2025,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856,139.3030856
2026,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013,143.7143013
2027,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461,145.5291461
2028,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772,148.4566772
2029,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587,151.2914587
2030,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439,154.6164439
2031,157.901591,157.901591,157.901591,157.901591,157.901591,157.901591,157.901591,157.901591,157.901591,157.901591,157.901591,157.901591
2032,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292,158.5715292
2033,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675,159.2204675
2034,160.186772,160.186772,160.186772,160.186772,160.186772,160.186772,160.186772,160.186772,160.186772,160.186772,160.186772,160.186772
2035,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565,161.0368565
2036,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085,161.8998085
2037,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403,162.6815403
2038,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632,163.4979632
2039,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622,164.3835622
2040,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788,165.2627788
2041,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751,166.0922751
2042,166.946786,166.946786,166.946786,166.946786,166.946786,166.946786,166.946786,166.946786,166.946786,166.946786,166.946786,166.946786
2043,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498,167.8101498
2044,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547,168.6924547
2045,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126,169.5696126
2046,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528,170.4391528
2047,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548,171.3178548
2048,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508,172.2103508
2049,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645,173.1034645
2050,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458,173.9989458
2051,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918,174.8966918
2052,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378,175.8014378
2053,176.712669,176.712669,176.712669,176.712669,176.712669,176.712669,176.712669,176.712669,176.712669,176.712669,176.712669,176.712669
2054,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944,177.6271944
2055,178.544602,178.544602,178.544602,178.544602,178.544602,178.544602,178.544602,178.544602,178.544602,178.544602,178.544602,178.544602
2056,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626,179.4673626
2057,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732,180.3953732
2058,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249,181.3283249
2059,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914,182.2652914
2060,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842,183.2066842
2061,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182,184.1530182
2062,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993,185.1044993
2063,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098,186.0605098
2064,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525,187.0211525
2065,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306,187.9865306
2066,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527,188.9569527
2067,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131,189.9322131
2068,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117,190.9123117
2069,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485,191.8972485
2070,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264,192.8871264
2071,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455,193.8819455
2072,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087,194.8818087
2073,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131,195.8866131
2074,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615,196.8964615
2075,197.911354,197.911354,197.911354,197.911354,197.911354,197.911354,197.911354,197.911354,197.911354,197.911354,197.911354,197.911354
2076,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907,198.9312907
2077,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743,199.9563743
2078,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021,200.9865021
2079,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799,202.0218799
2080,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046,203.0624046
