YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,100,100,100,100,100,100,100,100,100,100,100,100
2017,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602,124.1813602
2018,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099,162.5601099
2019,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775,147.0345775
2020,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481,95.23700481
2021,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444,161.7586444
2022,225.34921,225.34921,225.34921,225.34921,225.34921,225.34921,225.34921,225.34921,225.34921,225.34921,225.34921,225.34921
2023,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603,186.9704603
2024,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624,191.5731624
2025,195.511793,195.511793,195.511793,195.511793,195.511793,195.511793,195.511793,195.511793,195.511793,195.511793,195.511793,195.511793
2026,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276,199.3588276
2027,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592,203.2745592
2028,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869,207.2818869
2029,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116,211.3579116
2030,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334,215.5026334
2031,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512,219.7389512
2032,220.837646,220.837646,220.837646,220.837646,220.837646,220.837646,220.837646,220.837646,220.837646,220.837646,220.837646,220.837646
2033,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342,221.9418342
2034,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434,223.0515434
2035,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011,224.1668011
2036,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351,225.2876351
2037,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733,226.4140733
2038,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436,227.5461436
2039,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743,228.6838743
2040,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937,229.8272937
2041,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302,230.9764302
2042,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123,232.1313123
2043,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689,233.2919689
2044,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287,234.4584287
2045,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209,235.6307209
2046,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745,236.8088745
2047,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189,237.9929189
2048,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835,239.1828835
2049,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979,240.3787979
2050,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919,241.5806919
2051,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953,242.7885953
2052,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383,244.0025383
2053,245.222551,245.222551,245.222551,245.222551,245.222551,245.222551,245.222551,245.222551,245.222551,245.222551,245.222551,245.222551
2054,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637,246.4486637
2055,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071,247.6809071
2056,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116,248.9193116
2057,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082,250.1639082
2058,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277,251.4147277
2059,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013,252.6718013
2060,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603,253.9351603
2061,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361,255.2048361
2062,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603,256.4808603
2063,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646,257.7632646
2064,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809,259.0520809
2065,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413,260.3473413
2066,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781,261.6490781
2067,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234,262.9573234
2068,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101,264.2721101
2069,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706,265.5934706
2070,266.921438,266.921438,266.921438,266.921438,266.921438,266.921438,266.921438,266.921438,266.921438,266.921438,266.921438,266.921438
2071,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452,268.2560452
2072,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254,269.5973254
2073,270.945312,270.945312,270.945312,270.945312,270.945312,270.945312,270.945312,270.945312,270.945312,270.945312,270.945312,270.945312
2074,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386,272.3000386
2075,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388,273.6615388
2076,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465,275.0298465
2077,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957,276.4049957
2078,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207,277.7870207
2079,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558,279.1759558
2080,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355,280.5718355
