YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,100,100,100,100,100,100,100,100,100,100,100,100
2017,92.46324,92.46324,92.46324,92.46324,92.46324,92.46324,92.46324,92.46324,92.46324,92.46324,92.46324,92.46324
2018,107.077,107.077,107.077,107.077,107.077,107.077,107.077,107.077,107.077,107.077,107.077,107.077
2019,89.39279,89.39279,89.39279,89.39279,89.39279,89.39279,89.39279,89.39279,89.39279,89.39279,89.39279,89.39279
2020,114.5151,114.5151,114.5151,114.5151,114.5151,114.5151,114.5151,114.5151,114.5151,114.5151,114.5151,114.5151
2021,155.0479,155.0479,155.0479,155.0479,155.0479,155.0479,155.0479,155.0479,155.0479,155.0479,155.0479,155.0479
2022,150.6074,150.6074,150.6074,150.6074,150.6074,150.6074,150.6074,150.6074,150.6074,150.6074,150.6074,150.6074
2023,128.6625,128.6625,128.6625,128.6625,128.6625,128.6625,128.6625,128.6625,128.6625,128.6625,128.6625,128.6625
2024,115.2827,115.2827,115.2827,115.2827,115.2827,115.2827,115.2827,115.2827,115.2827,115.2827,115.2827,115.2827
2025,110.1815,110.1815,110.1815,110.1815,110.1815,110.1815,110.1815,110.1815,110.1815,110.1815,110.1815,110.1815
2026,111.1191,111.1191,111.1191,111.1191,111.1191,111.1191,111.1191,111.1191,111.1191,111.1191,111.1191,111.1191
2027,113.7232,113.7232,113.7232,113.7232,113.7232,113.7232,113.7232,113.7232,113.7232,113.7232,113.7232,113.7232
2028,116.1912,116.1912,116.1912,116.1912,116.1912,116.1912,116.1912,116.1912,116.1912,116.1912,116.1912,116.1912
2029,118.426,118.426,118.426,118.426,118.426,118.426,118.426,118.426,118.426,118.426,118.426,118.426
2030,120.2916,120.2916,120.2916,120.2916,120.2916,120.2916,120.2916,120.2916,120.2916,120.2916,120.2916,120.2916
2031,121.9046,121.9046,121.9046,121.9046,121.9046,121.9046,121.9046,121.9046,121.9046,121.9046,121.9046,121.9046
2032,122.8771,122.8771,122.8771,122.8771,122.8771,122.8771,122.8771,122.8771,122.8771,122.8771,122.8771,122.8771
2033,123.5401,123.5401,123.5401,123.5401,123.5401,123.5401,123.5401,123.5401,123.5401,123.5401,123.5401,123.5401
2034,123.9875,123.9875,123.9875,123.9875,123.9875,123.9875,123.9875,123.9875,123.9875,123.9875,123.9875,123.9875
