YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,6908.109134,47403.04691,26725.50172,10183.03307,34967.41367,10497.6136,52643.91784,10239.48135,10965.97426,2903.795409,1875.732161,11356.40004
2017,7388.029346,48197.19632,27569.93022,10373.63181,35841.59901,10878.67697,53937.70718,10528.08144,11144.39475,2981.412348,2003.195353,11564.47191
2018,7886.704618,48507.30149,28371.49785,10578.20834,36509.47661,11262.88963,55537.76852,10252.5198,11329.43506,3066.633844,2132.478604,11886.05008
2019,8356.003035,48312.21136,29008.14958,10548.78518,37128.39983,11634.50515,56907.90755,10047.38113,11467.40458,3168.266684,2215.036168,12142.52416
2020,8543.063724,46262.72443,28802.36131,9636.147877,37588.70373,11998.37221,55648.26914,9052.641691,11058.23442,3252.47675,2085.87623,11825.5098
2021,9264.821851,47294.34484,30042.22659,10198.68976,37997.60701,12337.8732,58875.98484,10022.90473,11647.73066,3335.844717,2274.653826,12484.05067
2022,9542.830874,47778.92079,30818.66373,10510.34873,39373.31031,12719.51909,60099.60542,10548.41012,11996.68737,2362.386173,2427.450252,12225.66684
2023,10069.86347,48293.72169,31296.91088,10764.33383,39663.13794,13030.30617,61151.32136,10627.81433,12191.67808,2446.949605,2554.546572,12157.78605
2024,10603.42,48892.68347,32120.36874,10978.88643,40174.47254,13377.14889,61909.20432,10763.41259,12462.21491,2681.500833,2709.961229,12335.31872
2025,11134.06177,49379.3593,32839.72937,11229.63309,40923.07896,13772.38919,63128.9423,10921.65895,12845.38076,2989.628774,2873.43873,12527.21527
2026,11675.00883,49834.32762,33540.24227,11474.59302,41647.77104,14188.08989,64684.54599,11089.06844,13276.68494,3238.391682,3055.824522,12674.78054
2027,12223.73423,50282.83656,34211.04711,11727.03407,42331.68521,14603.03394,66172.29052,11288.67166,13714.81554,3497.463016,3245.285636,12839.55268
2028,12773.80227,50735.38209,34895.26805,11985.02882,42966.66049,15011.91889,67429.56404,11537.02244,14139.97482,3777.260058,3440.002775,13032.14597
2029,13348.62337,51192.00052,35593.17341,12248.69946,43611.1604,15432.25262,68710.72576,11790.83693,14578.31404,4079.440862,3646.402941,13227.62816
