YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,138232.3332,12632.4,5050.4,12863.2,44347.1049,365248.1,32411.9,4384.7,20956.8,4462.4,132680.2,14344
2017,138823.2693,12604.5,5070.5,13022.3,44402.265,370779.6,32647.4,4427.2,21124.3,4440.5,134251.3,14337.5
2018,139368.6493,12573.8,5089.7,13178.8,44466.373,376309.6,32883.6,4469.2,21287.3,4417,135813.8,14326.1
2019,139858.2297,12540.3,5107.9,13332.7,44539.0236,381839.1,33119.5,4510.6,21445.8,4392.6,137360.5,14310.2
2020,140284.7838,12503.9,5125.1,13483.7,44519.0667,387368.6,33354.6,4551.7,21599.7,4367.9,138885.9,14289.8
2021,142592.5386,12427.831,5182.9025,12702.4134,44491.1668,356958.9066,33749.9479,4538.9937,21482.4774,4333.4204,141231.9817,14473.2516
2022,142584.9288,12362.5074,5180.2594,12798.4117,44972.0109,362626.7743,33908.0235,4563.0699,21580.2222,3606.9274,142202.6528,14469.4112
2023,142549.3416,12296.3952,5176.5524,12892.7016,44812.432,368408.0644,34091.2892,4591.7069,21704.267,3741.9993,143522.8798,14419.4606
2024,142486.4149,12229.8912,5171.8401,12984.9919,44688.293,374245.4147,34271.5948,4619.8664,21823.1924,3845.5648,144821.0906,14371.9551
2025,142389.9698,12162.1903,5166.2557,13075.2863,44592.1484,380084.196,34449.0859,4647.6376,21937.4192,3906.2504,146100.2542,14326.8869
2026,142261.0706,12094.3073,5159.9078,13163.5235,44533.363,385931.5817,34623.9014,4675.0613,22048.0096,3912.4114,147345.9878,14286.1958
2027,142100.7413,12025.8125,5152.4458,13248.7107,44485.8132,391783.6506,34795.7508,4702.1302,22152.457,3896.6652,148569.7166,14246.3191
2028,141908.3747,11956.635,5144.0001,13332.0604,44442.0044,397635.7851,34965.2191,4728.7589,22252.0524,3869.8449,149764.4933,14206.317
2029,141686.5534,11886.7844,5134.501,13413.7899,44392.4537,403486.6203,35133.4473,4754.961,22345.9269,3842.9977,150929.6262,14164.6711
2030,141434.6277,11816.1759,5123.5418,13493.0315,44337.5702,409328.1995,35299.0129,4780.7511,22435.8668,3816.088,152069.1899,14121.8771
2031,141154.5733,11744.9601,5111.0981,13570.6171,44278.5017,415163.6286,35461.5819,4805.9528,22519.7844,3789.1993,153172.5881,14078.1311
2032,140847.9998,11673.0564,5096.9746,13645.6963,44214.3033,420994.7333,35620.8581,4830.9021,22598.1231,3762.3344,154249.0188,14033.78
2033,140514.0759,11600.5822,5081.1199,13717.5782,44144.9731,426815.5546,35777.3537,4855.4102,22671.3573,3735.6216,155288.9482,13989.3532
2034,140148.8871,11527.6333,5063.2249,13787.1682,44070.3334,432629.7035,35928.4014,4879.5199,22739.3064,3709.0806,156295.0129,13944.8345
2035,139760.6129,11453.7784,5043.2886,13853.0163,43990.3089,438426.5687,36074.8826,4903.0717,22801.7728,3682.8713,157265.439,13900.7629
2036,139348.7317,11379.2127,5021.5352,13915.8446,43905.4732,444203.2622,36216.4322,4926.0992,22859.035,3656.8274,158195.1235,13857.3894
2037,138918.9523,11304.1357,4998.0347,13975.2145,43816.36,449958.1652,36351.9354,4948.6455,22910.6384,3630.8801,159092.6007,13814.7451
2038,138471.449,11228.7775,4972.8587,14030.5539,43722.9858,455689.8658,36480.2994,4970.3885,22955.898,3604.9087,159956.5559,13772.9565
2039,138001.9758,11153.3658,4946.122,14081.7497,43624.6722,461389.0347,36603.8726,4991.3231,22996.0529,3578.7568,160776.416,13731.4037
2040,137509.4119,11078.0745,4917.8728,14129.2846,43521.7322,467055.5106,36719.3753,5011.5747,23030.4057,3552.4658,161558.8505,13690.7945
2041,136995.0677,11002.9669,4888.1839,14172.6854,43414.122,472684.3788,36830.5045,5031.0111,23058.4925,3525.9854,162304.8216,13651.0872
2042,136458.3532,10927.9611,4857.3225,14212.3819,43301.8441,478272.2372,36935.9359,5049.5463,23080.4686,3499.2857,163012.2539,13612.4727
2043,135889.0971,10852.8309,4825.1108,14247.2084,43184.9169,483828.48,37034.6739,5067.4191,23096.8204,3472.2601,163673.8518,13574.5516
2044,135293.4669,10778.2781,4791.4095,14278.3583,43063.132,489333.2739,37128.3932,5084.4128,23108.6612,3444.947,164293.7023,13536.4285
2045,134657.9134,10704.1805,4756.3052,14305.4635,42936.8004,494788.596,37214.6376,5100.5445,23115.8391,3417.2098,164878.935,13497.8262
2046,133984.1346,10630.6901,4719.6137,14328.7355,42805.3871,500194.2217,37295.7453,5115.8383,23118.0088,3388.9015,165423.8167,13458.8162
2047,133268.4471,10557.8175,4681.2112,14348.1413,42669.5309,505541.6847,37371.3693,5130.4165,23115.7699,3360.3319,165931.5923,13419.3552
2048,132506.2744,10485.5062,4640.967,14362.6428,42528.1786,510822.1597,37441.4475,5143.9027,23109.1182,3331.2095,166409.5401,13378.2795
2049,131694.5667,10413.9503,4598.9411,14373.4432,42382.0806,516034.4281,37508.4703,5156.3615,23097.2116,3301.7105,166847.4589,13335.3801
2050,130832.6982,10342.9211,4555.2336,14381.0296,42230.8686,521180.1486,37569.9222,5167.8734,23079.9334,3271.8334,167250.6602,13291.2269
2051,129918.6219,10272.4161,4510.0104,14384.8834,42074.9653,526247.6682,37627.6603,5178.3146,23058.0027,3241.5124,167618.0664,13244.9122
