YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,5437.758994,127.70001,126.5842141,137.2144081,2288.694144,1767.229075,1116.6913,51.90001,373.14001,74.784208,31.61087121,343.95571
2017,5451.8,127.225,127.983,139.985,2280.163,1741.19,1146.414,56.5,384.05,73.528,38.175,351.547
2018,5404,128.2,132.88,147.044,2320.532,1790.53,1180.694,60,397.367,69.987,37.606,374.419
2019,4255,129,136.382,156.576,2303.871,1741.996,1240.609,61.033,406.06,70.595,35.855,393.683
2020,3634,131.722,140.285,162.752,2328.065,1782.294,1269.152,65.538,424.804,69.422,33.616,428.183
2021,4885,133.131,137.479,167.951,2387.036,1773.344,1240.45,67.4,445.438,71.993,33.049,441.028
2022,5200,130,137.295,168.91,2386.607,1781.327,1215.347,67.097,445.074,74.085,33.062,443.421
2023,5450.111,128.041,137.437,169.899,2348.274,1832.987,1236.979,67.784,425.25,74.395,34.303,445.733
2024,5497.042,127.521,136.788,170.206,2292.879,1888.496,1236.621,67.972,427.697,74.639,36.029,446.701
2025,5532.4,127.511,136.718,171.091,2271.922,1932.877,1239.328,68.633,433.001,75.28,36.947,450.083
2026,5555.336,127.467,136.637,171.927,2255.657,1964.148,1255.455,69.309,436.999,75.596,37.256,452.216
2027,5575.561,127.583,136.752,172.919,2243.539,1993.458,1270.397,70.028,440.867,76.028,37.48,454.57
2028,5607.068,127.752,136.921,173.958,2232.077,2020.168,1287.164,70.752,444.454,76.461,37.624,456.918
2029,5639.655,127.909,137.057,175.004,2221.957,2047.185,1301.425,71.455,448.669,76.92,37.623,459.21
2030,5672.42,128.079,137.14,176.079,2212.483,2075.066,1315.239,72.222,453.224,77.407,37.578,461.567
2031,5705.056,128.246,137.155,177.152,2207.458,2102.101,1322.451,72.981,457.779,77.827,37.43,463.887
2032,5699.351,128.4152,137.1838,178.2546,2205.25,2128.502,1321.129,72.90802,457.3212,78.26802,37.39257,466.2041
2033,5693.652,128.6033,137.1685,179.3764,2203.045,2154.958,1319.807,72.83511,456.8639,78.71864,37.35518,468.5197
2034,5687.958,128.7833,137.1072,180.5144,2200.842,2182.255,1318.488,72.76228,456.407,79.19394,37.31783,470.8427
2035,5682.27,128.9781,137.034,181.679,2198.641,2209.123,1317.169,72.68951,455.9506,79.6831,37.28051,473.1669
2036,5676.588,129.1774,136.929,182.8635,2196.442,2236.184,1315.852,72.61682,455.4946,80.19003,37.24323,475.4903
2037,5670.911,129.3836,136.7929,184.0712,2194.246,2263.367,1314.536,72.5442,455.0391,80.71647,37.20598,477.8162
2038,5665.24,129.596,136.6183,185.299,2192.052,2290.854,1313.222,72.47166,454.584,81.26093,37.16878,480.1457
2039,5659.575,129.8141,136.4227,186.5515,2189.859,2318.299,1311.908,72.39919,454.1295,81.82549,37.13161,482.4762
2040,5653.916,130.042,136.1944,187.8269,2187.669,2345.81,1310.596,72.32678,453.6753,82.40786,37.09447,484.8074
2041,5648.262,130.2737,135.9294,189.1243,2185.482,2373.63,1309.286,72.25446,453.2216,82.56032,37.05738,487.1416
2042,5642.613,130.5137,135.6357,190.4462,2183.296,2401.487,1307.977,72.1822,452.7684,82.71805,37.02032,489.4779
2043,5636.971,130.7606,135.3101,191.7918,2181.113,2429.469,1306.669,72.11002,452.3157,82.88113,36.9833,491.8155
2044,5631.333,131.0146,134.9516,193.1619,2178.932,2457.58,1305.362,72.0379,451.8634,83.0496,36.94632,494.1548
2045,5625.702,131.2756,134.5577,194.5559,2176.753,2485.883,1304.057,71.96587,451.4115,83.22343,36.90937,496.4966
2046,5620.077,131.5435,134.1324,195.9751,2174.576,2514.292,1302.752,71.8939,450.9601,83.40287,36.87246,498.8402
2047,5614.457,131.8195,133.6733,197.4196,2172.401,2542.818,1301.45,71.82201,450.5091,83.58784,36.83559,501.1854
2048,5608.842,132.1022,133.1787,198.8893,2170.229,2571.531,1300.148,71.75018,450.0586,83.77845,36.79876,503.5327
2049,5603.233,132.3925,132.6497,200.385,2168.059,2600.377,1298.848,71.67844,449.6086,83.97476,36.76196,505.882
