YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,1826.711924,154.50001,89.3232705,307.787384,1270.298433,3652.196598,2097.458983,205.50001,1389.14941,106.6934182,343.1930032,471.69201
2017,1949.323,157.474,85.2,324.189,1274.538,3945.056,2140.868,211.6,1361.21,101.525,380.504,455.842
2018,2037.11,159.913,91.312,336.931,1329.12,4105.011,2178.289,206.8,1328.864,101.429,410.242,456.32
2019,2076.559,163.185,94.913,350.705,1354.171,4203.968,2234.081,230.6,1393.601,113.22,422.341,463.135
2020,2127.859,166.77,104.529,360.957,1366.863,4217.403,2282.752,231.6,1442.444,119.968,359.676,461.704
2021,2144.864,166.77,101.59,369.349,1355.003,4299.366,2288.24,229.5,1497.98,116.202,376.665,454.133
2022,2177.124,164.196,101.252,370.509,1362.059,4430.211,2279.653,227.784,1481.765,109.368,430.072,458.867
2023,2204.715,161.078,101.16,373.165,1367.431,4544.135,2300.108,228.379,1467.731,110.18,459.529,460.081
2024,2239.518,160.227,101.161,375.574,1367.056,4656.519,2317.781,229.167,1465.683,111.231,490.179,457.447
2025,2270.263,160.193,101.368,378.999,1369.552,4766.979,2337.335,232.001,1479.283,112.387,516.458,459.984
2026,2300.342,160.184,101.613,382.644,1370.362,4870.884,2352.021,234.95,1490.475,113.603,540.27,463.413
2027,2329.76,160.526,101.949,386.564,1372.873,4974.828,2367.901,238.257,1498.185,114.962,561.959,467.059
2028,2357.873,160.708,102.325,391.388,1376.732,5075.687,2384.052,242.311,1512.305,116.345,581.893,470.867
2029,2386.794,160.9,102.637,396.501,1381.659,5180.03,2395.349,247.394,1528.65,117.773,600.954,474.644
2030,2416.207,161.157,102.909,401.671,1385.567,5285.94,2412.858,251.4,1543.891,119.196,619.653,478.396
2031,2444.839,161.192,103.15,406.764,1389.644,5392.847,2432.098,255.113,1558.827,120.587,637.856,482.05
2032,2469.288,161.2103,103.381,410.8316,1403.541,5500.436,2429.666,257.6641,1574.415,120.4664,637.2181,481.5679
2033,2493.98,161.2115,103.5672,414.9399,1417.576,5609.608,2427.236,260.2408,1590.159,120.3459,636.5809,481.0864
2034,2518.92,161.2692,103.6974,419.0894,1431.752,5721.751,2424.809,262.8432,1606.061,120.2256,635.9443,480.6053
2035,2544.109,161.2999,103.8054,423.2802,1446.069,5834.663,2422.384,265.4716,1622.122,120.1054,635.3084,480.1247
2036,2569.551,161.3394,103.8713,427.513,1460.53,5949.535,2419.962,268.1263,1638.343,119.9853,634.6731,479.6446
2037,2595.246,161.3859,103.8963,431.7881,1475.135,6066.318,2417.542,270.8076,1654.726,119.8653,634.0385,479.1649
2038,2621.198,161.4453,103.8759,436.106,1489.887,6185.171,2415.124,273.5157,1671.274,119.7454,633.4044,478.6858
2039,2647.41,161.5057,103.8212,440.4671,1504.786,6305.687,2412.709,276.2508,1687.986,119.6257,632.771,478.2071
2040,2673.885,161.5645,103.7252,444.8717,1519.833,6428.039,2410.297,279.0133,1704.866,119.506,632.1382,477.7289
2041,2700.623,161.641,103.5826,449.3205,1535.032,6552.672,2407.886,281.8035,1721.915,119.3865,631.5061,477.2511
2042,2727.63,161.718,103.4008,453.8137,1550.382,6679.133,2405.478,284.6215,1739.134,119.2672,630.8746,476.7739
2043,2754.906,161.8003,103.1766,458.3518,1565.886,6807.625,2403.073,287.4677,1756.525,119.1479,630.2437,476.2971
2044,2782.455,161.8886,102.9089,462.9353,1581.545,6938.211,2400.67,290.3424,1774.091,119.0287,629.6135,475.8208
2045,2810.28,161.9852,102.5959,467.5647,1597.36,7070.983,2398.269,293.2458,1791.832,118.9097,628.9838,475.345
2046,2838.382,162.0872,102.24,472.2404,1613.334,7205.864,2395.871,296.1783,1809.75,118.7908,628.3549,474.8696
2047,2866.766,162.1932,101.8397,476.9628,1629.467,7342.898,2393.475,299.14,1827.848,118.672,627.7265,474.3947
2048,2895.434,162.308,101.3929,481.7324,1645.762,7482.243,2391.082,302.1314,1846.126,118.5533,627.0988,473.9203
2049,2924.388,162.4284,100.9007,486.5497,1662.219,7623.839,2388.69,305.1527,1864.587,118.4348,626.4717,473.4464
2050,2953.632,162.5549,100.3624,491.4152,1678.842,7767.742,2386.302,308.2043,1883.233,118.3163,625.8452,472.973
2051,2983.168,162.6877,99.77712,496.3294,1695.63,7914.006,2383.916,311.2863,1902.065,118.198,625.2194,472.5
2052,3013,162.8276,99.14395,501.2927,1712.586,8062.695,2381.531,314.3991,1921.086,118.0798,624.5941,472.0275
2053,3043.13,162.9741,98.46303,506.3056,1729.712,8213.824,2379.15,317.5431,1940.297,117.9618,623.9695,471.5555
2054,3073.562,163.1266,97.7337,511.3687,1747.009,8367.433,2376.771,320.7186,1959.7,117.8438,623.3456,471.084
2055,3104.297,163.2863,96.95496,516.4824,1764.479,8523.596,2374.394,323.9258,1979.297,117.726,622.7222,470.6129
2056,3135.34,163.4528,96.12649,521.6472,1782.124,8682.343,2372.02,327.165,1999.09,117.6082,622.0995,470.1423
2057,3166.694,163.6261,95.2478,526.8636,1799.945,8843.719,2369.647,330.4366,2019.081,117.4906,621.4774,469.6721
2058,3198.361,163.8062,94.31823,532.1323,1817.945,9007.773,2367.278,333.741,2039.271,117.3731,620.856,469.2025
2059,3230.344,163.9935,93.33707,537.4536,1836.124,9174.563,2364.911,337.0784,2059.664,117.2558,620.2351,468.7332
2060,3262.648,164.1879,92.30383,542.8281,1854.486,9344.132,2362.546,340.4492,2080.261,117.1385,619.6149,468.2645
2061,3295.274,164.3893,91.21794,548.2564,1873.03,9516.527,2360.183,343.8537,2101.063,117.0214,618.9952,467.7963
2062,3328.227,164.598,90.0787,553.739,1891.761,9691.807,2357.823,347.2922,2122.074,116.9043,618.3762,467.3285
2063,3361.509,164.814,88.88551,559.2764,1910.678,9870.022,2355.465,350.7651,2143.295,116.7874,617.7579,466.8611
2064,3395.124,165.0374,87.63777,564.8691,1929.785,10051.22,2353.11,354.2728,2164.728,116.6706,617.1401,466.3943
2065,3429.075,165.2682,86.33484,570.5178,1949.083,10235.47,2350.757,357.8155,2186.375,116.554,616.523,465.9279
2066,3463.366,165.5066,84.97604,576.223,1968.574,10422.81,2348.406,361.3937,2208.239,116.4374,615.9065,465.4619
2067,3498,165.7525,83.56072,581.9852,1988.26,10613.31,2346.057,365.0076,2230.321,116.321,615.2906,464.9965
2068,3532.979,166.0062,82.08828,587.8051,2008.142,10807.03,2343.711,368.6577,2252.624,116.2047,614.6753,464.5315
2069,3568.309,166.2676,80.55804,593.6831,2028.224,11004.01,2341.368,372.3443,2275.15,116.0885,614.0606,464.067
2070,3603.992,166.5368,78.96928,599.6199,2048.506,11204.33,2339.026,376.0677,2297.902,115.9724,613.4465,463.6029
2071,3640.032,166.8139,77.32137,605.6161,2068.991,11408.03,2336.687,379.8284,2320.881,115.8564,612.8331,463.1393
2072,3676.433,167.0991,75.61358,611.6723,2089.681,11615.2,2334.351,383.6267,2344.09,115.7405,612.2202,462.6761
2073,3713.197,167.3923,73.84525,617.789,2110.578,11825.88,2332.016,387.463,2367.531,115.6248,611.608,462.2135
2074,3750.329,167.6937,72.01566,623.9669,2131.683,12040.14,2329.684,391.3376,2391.206,115.5092,610.9963,461.7513
2075,3787.833,168.0033,70.12415,630.2066,2153,12258.05,2327.354,395.251,2415.118,115.3937,610.3853,461.2895
2076,3825.711,168.3213,68.1699,636.5087,2174.53,12479.67,2325.027,399.2035,2439.269,115.2783,609.7749,460.8282
2077,3863.968,168.6477,66.15228,642.8738,2196.276,12705.08,2322.702,403.1955,2463.662,115.163,609.1651,460.3674
2078,3902.608,168.9825,64.07048,649.3025,2218.238,12934.33,2320.379,407.2275,2488.298,115.0478,608.5559,459.907
2079,3941.634,169.326,61.92382,655.7955,2240.421,13167.51,2318.059,411.2997,2513.181,114.9328,607.9473,459.4471
2080,3981.05,169.6781,59.71151,662.3535,2262.825,13404.69,2315.741,415.4128,2538.313,114.8178,607.3394,458.9877
