YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,100,100,100,100,100,100,100,100,100,100,100,100
2017,91.41085,91.41085,91.41085,91.41085,91.41085,91.41085,91.41085,91.41085,91.41085,91.41085,91.41085,91.41085
2018,98.13665,98.13665,98.13665,98.13665,98.13665,98.13665,98.13665,98.13665,98.13665,98.13665,98.13665,98.13665
2019,93.68668,93.68668,93.68668,93.68668,93.68668,93.68668,93.68668,93.68668,93.68668,93.68668,93.68668,93.68668
2020,101.7126,101.7126,101.7126,101.7126,101.7126,101.7126,101.7126,101.7126,101.7126,101.7126,101.7126,101.7126
2021,97.65244,97.65244,97.65244,97.65244,97.65244,97.65244,97.65244,97.65244,97.65244,97.65244,97.65244,97.65244
2022,100.4415,100.4415,100.4415,100.4415,100.4415,100.4415,100.4415,100.4415,100.4415,100.4415,100.4415,100.4415
2023,105.4193,105.4193,105.4193,105.4193,105.4193,105.4193,105.4193,105.4193,105.4193,105.4193,105.4193,105.4193
2024,103.0951,103.0951,103.0951,103.0951,103.0951,103.0951,103.0951,103.0951,103.0951,103.0951,103.0951,103.0951
2025,101.2211,101.2211,101.2211,101.2211,101.2211,101.2211,101.2211,101.2211,101.2211,101.2211,101.2211,101.2211
2026,102.9014,102.9014,102.9014,102.9014,102.9014,102.9014,102.9014,102.9014,102.9014,102.9014,102.9014,102.9014
2027,104.0635,104.0635,104.0635,104.0635,104.0635,104.0635,104.0635,104.0635,104.0635,104.0635,104.0635,104.0635
2028,105.7558,105.7558,105.7558,105.7558,105.7558,105.7558,105.7558,105.7558,105.7558,105.7558,105.7558,105.7558
2029,107.0608,107.0608,107.0608,107.0608,107.0608,107.0608,107.0608,107.0608,107.0608,107.0608,107.0608,107.0608
2030,108.3367,108.3367,108.3367,108.3367,108.3367,108.3367,108.3367,108.3367,108.3367,108.3367,108.3367,108.3367
2031,109.6732,109.6732,109.6732,109.6732,109.6732,109.6732,109.6732,109.6732,109.6732,109.6732,109.6732,109.6732
2032,110.2209,110.2209,110.2209,110.2209,110.2209,110.2209,110.2209,110.2209,110.2209,110.2209,110.2209,110.2209
2033,110.5428,110.5428,110.5428,110.5428,110.5428,110.5428,110.5428,110.5428,110.5428,110.5428,110.5428,110.5428
2034,110.9174,110.9174,110.9174,110.9174,110.9174,110.9174,110.9174,110.9174,110.9174,110.9174,110.9174,110.9174
2035,111.2411,111.2411,111.2411,111.2411,111.2411,111.2411,111.2411,111.2411,111.2411,111.2411,111.2411,111.2411
2036,111.6244,111.6244,111.6244,111.6244,111.6244,111.6244,111.6244,111.6244,111.6244,111.6244,111.6244,111.6244
2037,112.0275,112.0275,112.0275,112.0275,112.0275,112.0275,112.0275,112.0275,112.0275,112.0275,112.0275,112.0275
2038,112.4134,112.4134,112.4134,112.4134,112.4134,112.4134,112.4134,112.4134,112.4134,112.4134,112.4134,112.4134
2039,112.76,112.76,112.76,112.76,112.76,112.76,112.76,112.76,112.76,112.76,112.76,112.76
2040,113.1479,113.1479,113.1479,113.1479,113.1479,113.1479,113.1479,113.1479,113.1479,113.1479,113.1479,113.1479
2041,113.5327,113.5327,113.5327,113.5327,113.5327,113.5327,113.5327,113.5327,113.5327,113.5327,113.5327,113.5327
2042,113.9258,113.9258,113.9258,113.9258,113.9258,113.9258,113.9258,113.9258,113.9258,113.9258,113.9258,113.9258
