YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,100,100,100,100,100,100,100,100,100,100,100,100
2017,103.4542,103.4542,103.4542,103.4542,103.4542,103.4542,103.4542,103.4542,103.4542,103.4542,103.4542,103.4542
2018,94.8634,94.8634,94.8634,94.8634,94.8634,94.8634,94.8634,94.8634,94.8634,94.8634,94.8634,94.8634
2019,97.40475,97.40475,97.40475,97.40475,97.40475,97.40475,97.40475,97.40475,97.40475,97.40475,97.40475,97.40475
2020,144.4415,144.4415,144.4415,144.4415,144.4415,144.4415,144.4415,144.4415,144.4415,144.4415,144.4415,144.4415
2021,164.0389,164.0389,164.0389,164.0389,164.0389,164.0389,164.0389,164.0389,164.0389,164.0389,164.0389,164.0389
2022,147.3265,147.3265,147.3265,147.3265,147.3265,147.3265,147.3265,147.3265,147.3265,147.3265,147.3265,147.3265
2023,138.2895,138.2895,138.2895,138.2895,138.2895,138.2895,138.2895,138.2895,138.2895,138.2895,138.2895,138.2895
2024,128.5164,128.5164,128.5164,128.5164,128.5164,128.5164,128.5164,128.5164,128.5164,128.5164,128.5164,128.5164
2025,127.1265,127.1265,127.1265,127.1265,127.1265,127.1265,127.1265,127.1265,127.1265,127.1265,127.1265,127.1265
2026,130.4782,130.4782,130.4782,130.4782,130.4782,130.4782,130.4782,130.4782,130.4782,130.4782,130.4782,130.4782
2027,132.8965,132.8965,132.8965,132.8965,132.8965,132.8965,132.8965,132.8965,132.8965,132.8965,132.8965,132.8965
2028,134.3915,134.3915,134.3915,134.3915,134.3915,134.3915,134.3915,134.3915,134.3915,134.3915,134.3915,134.3915
2029,136.6072,136.6072,136.6072,136.6072,136.6072,136.6072,136.6072,136.6072,136.6072,136.6072,136.6072,136.6072
2030,138.5613,138.5613,138.5613,138.5613,138.5613,138.5613,138.5613,138.5613,138.5613,138.5613,138.5613,138.5613
2031,140.7026,140.7026,140.7026,140.7026,140.7026,140.7026,140.7026,140.7026,140.7026,140.7026,140.7026,140.7026
2032,141.5713,141.5713,141.5713,141.5713,141.5713,141.5713,141.5713,141.5713,141.5713,141.5713,141.5713,141.5713
2033,141.9163,141.9163,141.9163,141.9163,141.9163,141.9163,141.9163,141.9163,141.9163,141.9163,141.9163,141.9163
2034,142.4388,142.4388,142.4388,142.4388,142.4388,142.4388,142.4388,142.4388,142.4388,142.4388,142.4388,142.4388
2035,143.0719,143.0719,143.0719,143.0719,143.0719,143.0719,143.0719,143.0719,143.0719,143.0719,143.0719,143.0719
2036,143.6297,143.6297,143.6297,143.6297,143.6297,143.6297,143.6297,143.6297,143.6297,143.6297,143.6297,143.6297
2037,144.2382,144.2382,144.2382,144.2382,144.2382,144.2382,144.2382,144.2382,144.2382,144.2382,144.2382,144.2382
2038,144.7953,144.7953,144.7953,144.7953,144.7953,144.7953,144.7953,144.7953,144.7953,144.7953,144.7953,144.7953
2039,145.3269,145.3269,145.3269,145.3269,145.3269,145.3269,145.3269,145.3269,145.3269,145.3269,145.3269,145.3269
2040,145.9498,145.9498,145.9498,145.9498,145.9498,145.9498,145.9498,145.9498,145.9498,145.9498,145.9498,145.9498
2041,146.54,146.54,146.54,146.54,146.54,146.54,146.54,146.54,146.54,146.54,146.54,146.54
2042,147.1152,147.1152,147.1152,147.1152,147.1152,147.1152,147.1152,147.1152,147.1152,147.1152,147.1152,147.1152
2043,147.7045,147.7045,147.7045,147.7045,147.7045,147.7045,147.7045,147.7045,147.7045,147.7045,147.7045,147.7045
2044,148.2921,148.2921,148.2921,148.2921,148.2921,148.2921,148.2921,148.2921,148.2921,148.2921,148.2921,148.2921
2045,148.894,148.894,148.894,148.894,148.894,148.894,148.894,148.894,148.894,148.894,148.894,148.894
2046,149.4996,149.4996,149.4996,149.4996,149.4996,149.4996,149.4996,149.4996,149.4996,149.4996,149.4996,149.4996
2047,150.0934,150.0934,150.0934,150.0934,150.0934,150.0934,150.0934,150.0934,150.0934,150.0934,150.0934,150.0934
2048,150.6975,150.6975,150.6975,150.6975,150.6975,150.6975,150.6975,150.6975,150.6975,150.6975,150.6975,150.6975
2049,151.3077,151.3077,151.3077,151.3077,151.3077,151.3077,151.3077,151.3077,151.3077,151.3077,151.3077,151.3077
2050,151.9193,151.9193,151.9193,151.9193,151.9193,151.9193,151.9193,151.9193,151.9193,151.9193,151.9193,151.9193
2051,152.5339,152.5339,152.5339,152.5339,152.5339,152.5339,152.5339,152.5339,152.5339,152.5339,152.5339,152.5339
2052,153.1495,153.1495,153.1495,153.1495,153.1495,153.1495,153.1495,153.1495,153.1495,153.1495,153.1495,153.1495
2053,153.7688,153.7688,153.7688,153.7688,153.7688,153.7688,153.7688,153.7688,153.7688,153.7688,153.7688,153.7688
2054,154.3937,154.3937,154.3937,154.3937,154.3937,154.3937,154.3937,154.3937,154.3937,154.3937,154.3937,154.3937
2055,155.0201,155.0201,155.0201,155.0201,155.0201,155.0201,155.0201,155.0201,155.0201,155.0201,155.0201,155.0201
2056,155.6492,155.6492,155.6492,155.6492,155.6492,155.6492,155.6492,155.6492,155.6492,155.6492,155.6492,155.6492
2057,156.2817,156.2817,156.2817,156.2817,156.2817,156.2817,156.2817,156.2817,156.2817,156.2817,156.2817,156.2817
2058,156.9175,156.9175,156.9175,156.9175,156.9175,156.9175,156.9175,156.9175,156.9175,156.9175,156.9175,156.9175
2059,157.5568,157.5568,157.5568,157.5568,157.5568,157.5568,157.5568,157.5568,157.5568,157.5568,157.5568,157.5568
2060,158.1991,158.1991,158.1991,158.1991,158.1991,158.1991,158.1991,158.1991,158.1991,158.1991,158.1991,158.1991
2061,158.8442,158.8442,158.8442,158.8442,158.8442,158.8442,158.8442,158.8442,158.8442,158.8442,158.8442,158.8442
2062,159.4929,159.4929,159.4929,159.4929,159.4929,159.4929,159.4929,159.4929,159.4929,159.4929,159.4929,159.4929
2063,160.1449,160.1449,160.1449,160.1449,160.1449,160.1449,160.1449,160.1449,160.1449,160.1449,160.1449,160.1449
2064,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8
2065,161.4585,161.4585,161.4585,161.4585,161.4585,161.4585,161.4585,161.4585,161.4585,161.4585,161.4585,161.4585
2066,162.1201,162.1201,162.1201,162.1201,162.1201,162.1201,162.1201,162.1201,162.1201,162.1201,162.1201,162.1201
2067,162.7851,162.7851,162.7851,162.7851,162.7851,162.7851,162.7851,162.7851,162.7851,162.7851,162.7851,162.7851
2068,163.4535,163.4535,163.4535,163.4535,163.4535,163.4535,163.4535,163.4535,163.4535,163.4535,163.4535,163.4535
2069,164.1252,164.1252,164.1252,164.1252,164.1252,164.1252,164.1252,164.1252,164.1252,164.1252,164.1252,164.1252
2070,164.8002,164.8002,164.8002,164.8002,164.8002,164.8002,164.8002,164.8002,164.8002,164.8002,164.8002,164.8002
2071,165.4786,165.4786,165.4786,165.4786,165.4786,165.4786,165.4786,165.4786,165.4786,165.4786,165.4786,165.4786
2072,166.1604,166.1604,166.1604,166.1604,166.1604,166.1604,166.1604,166.1604,166.1604,166.1604,166.1604,166.1604
2073,166.8457,166.8457,166.8457,166.8457,166.8457,166.8457,166.8457,166.8457,166.8457,166.8457,166.8457,166.8457
2074,167.5343,167.5343,167.5343,167.5343,167.5343,167.5343,167.5343,167.5343,167.5343,167.5343,167.5343,167.5343
2075,168.2264,168.2264,168.2264,168.2264,168.2264,168.2264,168.2264,168.2264,168.2264,168.2264,168.2264,168.2264
2076,168.922,168.922,168.922,168.922,168.922,168.922,168.922,168.922,168.922,168.922,168.922,168.922
2077,169.621,169.621,169.621,169.621,169.621,169.621,169.621,169.621,169.621,169.621,169.621,169.621
2078,170.3235,170.3235,170.3235,170.3235,170.3235,170.3235,170.3235,170.3235,170.3235,170.3235,170.3235,170.3235
2079,171.0296,171.0296,171.0296,171.0296,171.0296,171.0296,171.0296,171.0296,171.0296,171.0296,171.0296,171.0296
