YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2016,100,100,100,100,100,100,100,100,100,100,100,100
2017,92.3623,92.3623,92.3623,92.3623,92.3623,92.3623,92.3623,92.3623,92.3623,92.3623,92.3623,92.3623
2018,94.52549,94.52549,94.52549,94.52549,94.52549,94.52549,94.52549,94.52549,94.52549,94.52549,94.52549,94.52549
2019,89.43491,89.43491,89.43491,89.43491,89.43491,89.43491,89.43491,89.43491,89.43491,89.43491,89.43491,89.43491
2020,106.3523,106.3523,106.3523,106.3523,106.3523,106.3523,106.3523,106.3523,106.3523,106.3523,106.3523,106.3523
2021,155.5033,155.5033,155.5033,155.5033,155.5033,155.5033,155.5033,155.5033,155.5033,155.5033,155.5033,155.5033
2022,149.604,149.604,149.604,149.604,149.604,149.604,149.604,149.604,149.604,149.604,149.604,149.604
2023,127.5839,127.5839,127.5839,127.5839,127.5839,127.5839,127.5839,127.5839,127.5839,127.5839,127.5839,127.5839
2024,110.3107,110.3107,110.3107,110.3107,110.3107,110.3107,110.3107,110.3107,110.3107,110.3107,110.3107,110.3107
2025,106.4251,106.4251,106.4251,106.4251,106.4251,106.4251,106.4251,106.4251,106.4251,106.4251,106.4251,106.4251
2026,108.3538,108.3538,108.3538,108.3538,108.3538,108.3538,108.3538,108.3538,108.3538,108.3538,108.3538,108.3538
2027,109.7689,109.7689,109.7689,109.7689,109.7689,109.7689,109.7689,109.7689,109.7689,109.7689,109.7689,109.7689
2028,111.6531,111.6531,111.6531,111.6531,111.6531,111.6531,111.6531,111.6531,111.6531,111.6531,111.6531,111.6531
2029,113.7759,113.7759,113.7759,113.7759,113.7759,113.7759,113.7759,113.7759,113.7759,113.7759,113.7759,113.7759
2030,115.4539,115.4539,115.4539,115.4539,115.4539,115.4539,115.4539,115.4539,115.4539,115.4539,115.4539,115.4539
2031,116.9418,116.9418,116.9418,116.9418,116.9418,116.9418,116.9418,116.9418,116.9418,116.9418,116.9418,116.9418
2032,117.6655,117.6655,117.6655,117.6655,117.6655,117.6655,117.6655,117.6655,117.6655,117.6655,117.6655,117.6655
2033,118.1242,118.1242,118.1242,118.1242,118.1242,118.1242,118.1242,118.1242,118.1242,118.1242,118.1242,118.1242
2034,118.6305,118.6305,118.6305,118.6305,118.6305,118.6305,118.6305,118.6305,118.6305,118.6305,118.6305,118.6305
2035,119.0708,119.0708,119.0708,119.0708,119.0708,119.0708,119.0708,119.0708,119.0708,119.0708,119.0708,119.0708
2036,119.4834,119.4834,119.4834,119.4834,119.4834,119.4834,119.4834,119.4834,119.4834,119.4834,119.4834,119.4834
2037,119.9851,119.9851,119.9851,119.9851,119.9851,119.9851,119.9851,119.9851,119.9851,119.9851,119.9851,119.9851
2038,120.5304,120.5304,120.5304,120.5304,120.5304,120.5304,120.5304,120.5304,120.5304,120.5304,120.5304,120.5304
2039,120.9656,120.9656,120.9656,120.9656,120.9656,120.9656,120.9656,120.9656,120.9656,120.9656,120.9656,120.9656
2040,121.4469,121.4469,121.4469,121.4469,121.4469,121.4469,121.4469,121.4469,121.4469,121.4469,121.4469,121.4469
2041,121.9285,121.9285,121.9285,121.9285,121.9285,121.9285,121.9285,121.9285,121.9285,121.9285,121.9285,121.9285
2042,122.4275,122.4275,122.4275,122.4275,122.4275,122.4275,122.4275,122.4275,122.4275,122.4275,122.4275,122.4275
2043,122.9292,122.9292,122.9292,122.9292,122.9292,122.9292,122.9292,122.9292,122.9292,122.9292,122.9292,122.9292
2044,123.415,123.415,123.415,123.415,123.415,123.415,123.415,123.415,123.415,123.415,123.415,123.415
2045,123.901,123.901,123.901,123.901,123.901,123.901,123.901,123.901,123.901,123.901,123.901,123.901
2046,124.4086,124.4086,124.4086,124.4086,124.4086,124.4086,124.4086,124.4086,124.4086,124.4086,124.4086,124.4086
2047,124.9111,124.9111,124.9111,124.9111,124.9111,124.9111,124.9111,124.9111,124.9111,124.9111,124.9111,124.9111
2048,125.4153,125.4153,125.4153,125.4153,125.4153,125.4153,125.4153,125.4153,125.4153,125.4153,125.4153,125.4153
2049,125.919,125.919,125.919,125.919,125.919,125.919,125.919,125.919,125.919,125.919,125.919,125.919
2050,126.4264,126.4264,126.4264,126.4264,126.4264,126.4264,126.4264,126.4264,126.4264,126.4264,126.4264,126.4264
2051,126.9399,126.9399,126.9399,126.9399,126.9399,126.9399,126.9399,126.9399,126.9399,126.9399,126.9399,126.9399
2052,127.4554,127.4554,127.4554,127.4554,127.4554,127.4554,127.4554,127.4554,127.4554,127.4554,127.4554,127.4554
2053,127.9702,127.9702,127.9702,127.9702,127.9702,127.9702,127.9702,127.9702,127.9702,127.9702,127.9702,127.9702
2054,128.489,128.489,128.489,128.489,128.489,128.489,128.489,128.489,128.489,128.489,128.489,128.489
2055,129.0108,129.0108,129.0108,129.0108,129.0108,129.0108,129.0108,129.0108,129.0108,129.0108,129.0108,129.0108
2056,129.5358,129.5358,129.5358,129.5358,129.5358,129.5358,129.5358,129.5358,129.5358,129.5358,129.5358,129.5358
2057,130.0629,130.0629,130.0629,130.0629,130.0629,130.0629,130.0629,130.0629,130.0629,130.0629,130.0629,130.0629
2058,130.592,130.592,130.592,130.592,130.592,130.592,130.592,130.592,130.592,130.592,130.592,130.592
2059,131.124,131.124,131.124,131.124,131.124,131.124,131.124,131.124,131.124,131.124,131.124,131.124
2060,131.6592,131.6592,131.6592,131.6592,131.6592,131.6592,131.6592,131.6592,131.6592,131.6592,131.6592,131.6592
2061,132.1969,132.1969,132.1969,132.1969,132.1969,132.1969,132.1969,132.1969,132.1969,132.1969,132.1969,132.1969
2062,132.7371,132.7371,132.7371,132.7371,132.7371,132.7371,132.7371,132.7371,132.7371,132.7371,132.7371,132.7371
2063,133.2799,133.2799,133.2799,133.2799,133.2799,133.2799,133.2799,133.2799,133.2799,133.2799,133.2799,133.2799
2064,133.8256,133.8256,133.8256,133.8256,133.8256,133.8256,133.8256,133.8256,133.8256,133.8256,133.8256,133.8256
2065,134.3741,134.3741,134.3741,134.3741,134.3741,134.3741,134.3741,134.3741,134.3741,134.3741,134.3741,134.3741
2066,134.9252,134.9252,134.9252,134.9252,134.9252,134.9252,134.9252,134.9252,134.9252,134.9252,134.9252,134.9252
2067,135.4791,135.4791,135.4791,135.4791,135.4791,135.4791,135.4791,135.4791,135.4791,135.4791,135.4791,135.4791
2068,136.0357,136.0357,136.0357,136.0357,136.0357,136.0357,136.0357,136.0357,136.0357,136.0357,136.0357,136.0357
2069,136.5952,136.5952,136.5952,136.5952,136.5952,136.5952,136.5952,136.5952,136.5952,136.5952,136.5952,136.5952
2070,137.1575,137.1575,137.1575,137.1575,137.1575,137.1575,137.1575,137.1575,137.1575,137.1575,137.1575,137.1575
2071,137.7225,137.7225,137.7225,137.7225,137.7225,137.7225,137.7225,137.7225,137.7225,137.7225,137.7225,137.7225
2072,138.2904,138.2904,138.2904,138.2904,138.2904,138.2904,138.2904,138.2904,138.2904,138.2904,138.2904,138.2904
2073,138.8611,138.8611,138.8611,138.8611,138.8611,138.8611,138.8611,138.8611,138.8611,138.8611,138.8611,138.8611
2074,139.4347,139.4347,139.4347,139.4347,139.4347,139.4347,139.4347,139.4347,139.4347,139.4347,139.4347,139.4347
2075,140.0112,140.0112,140.0112,140.0112,140.0112,140.0112,140.0112,140.0112,140.0112,140.0112,140.0112,140.0112
2076,140.5905,140.5905,140.5905,140.5905,140.5905,140.5905,140.5905,140.5905,140.5905,140.5905,140.5905,140.5905
2077,141.1727,141.1727,141.1727,141.1727,141.1727,141.1727,141.1727,141.1727,141.1727,141.1727,141.1727,141.1727
2078,141.7578,141.7578,141.7578,141.7578,141.7578,141.7578,141.7578,141.7578,141.7578,141.7578,141.7578,141.7578
2079,142.3459,142.3459,142.3459,142.3459,142.3459,142.3459,142.3459,142.3459,142.3459,142.3459,142.3459,142.3459
2080,142.9369,142.9369,142.9369,142.9369,142.9369,142.9369,142.9369,142.9369,142.9369,142.9369,142.9369,142.9369
