COUNTRY,PPD,PPDC_RCE,PPDC_WHT,PPDC_SYB,PPDC_CG,PFER
CHN,0.153,-0.0288,-0.0234,-0.0492,-0.0686,0.017
JPN,0.18,0,0,0,-0.197,0.017
KOR,0.18,-0.42,0,0,0.223,0.017
MEX,0.132,0,0,-0.012,-0.137,0.017
EUN,0.156,0,-0.126,0,-0.047,0.017
ROW,0.596,-0.16,-0.042,-0.024,-0.387,0.017
USA,0.28,0,-0.017068255,-0.119477784,-0.160453961,0.017
ARG,0.42,0,-0.078,-0.06,-0.299,0.017
BRA,0.396,0,-0.03,-0.00852,-0.37448,0.017
UKR,0.168,0,-0.09,0,-0.095,0.017
IND,0.126,-0.06,-0.054,-0.102,0.073,0.017
RUS,0.126,0,-0.03,-0.00852,-0.10448,0.017
