"YEAR","WORLD_PRICE","CONSUMER_PRICE","PRODUCER_PRICE","DOMESTIC_PRODUCTION","AREA_PLANTED","YIELD","DOMESTIC_DEMAND","FOOD","PROCESSING","FEED","SEED","LOSS","STOCK_VARIATION","NET_IMPORT"
2020,100,1089,1049.4,26067,4126.4,6317.13,28965.5,1430,7871.7,18000,85.62,1042.68,535.5,2898.5
2021,131.28,1429.59,1389.99,26444.97,4153.06,6367.59,28669.76,1269.79,7983.69,18027.2,86.79,1043.79,258.5,2224.8
2022,121.57,1323.89,1284.29,26776.51,4171.8,6418.45,29420.45,1316.96,8161.05,19239.66,87.61,1044.57,-429.4,2643.94
2023,108.35,1179.93,1140.33,27125.44,4192.68,6469.72,30543.95,1451.69,8163.81,20194.93,88.52,1045.44,-400.45,3418.51
2024,99.9,1087.96,1048.36,27388.64,4190.21,6521.4,31036.15,1534.52,8230.08,20445.52,88.41,1045.34,-307.72,3647.52
2025,99.07,1078.82,1039.22,27672.09,4175.88,6573.49,31698.62,1570.97,8251.87,20643.95,87.79,1044.74,99.31,4026.53
2026,99.36,1082.01,1042.41,28086.18,4168.55,6626,31891.84,1589.74,8266.85,20799.94,87.46,1044.44,103.42,3805.66
2027,99.37,1082.15,1042.55,28925.77,4156.53,6678.93,32076.71,1597.24,8283.39,20945.42,86.94,1043.94,119.78,3150.93
2028,99.42,1082.65,1043.05,29832.8,4146.26,6732.28,32354.9,1606.88,8299.25,21126.73,86.49,1043.51,192.04,2522.1
2029,100.65,1096.04,1056.44,30089.99,4143.64,6786.05,32574.38,1613.07,8307.71,21311.39,86.37,1043.4,212.44,2484.39
2030,100.52,1094.67,1055.07,30794.82,4134.19,6840.25,32776.66,1624.18,8324.85,21497.13,85.96,1043,201.54,1981.84
2031,101.21,1102.17,1062.57,31013.48,4130.55,6894.89,32952.28,1631.12,8335.25,21680.92,85.8,1042.85,176.34,1938.8
2032,100.95,1099.32,1059.72,31215.15,4124.47,6949.96,32998.69,1640.12,8345.71,21717.22,85.54,1042.6,167.52,1783.54
2033,100.22,1091.36,1051.76,31526.13,4117.26,7005.47,33048.83,1650.66,8359.25,21752.25,85.22,1042.3,159.14,1522.7
2034,99.75,1086.28,1046.68,31698.65,4112.06,7061.43,33097.71,1661.52,8371.2,21786.73,84.99,1042.08,151.19,1399.06
2035,99.21,1080.45,1040.85,31906.79,4106.26,7117.83,33146.16,1672.01,8383.7,21820.24,84.74,1041.84,143.63,1239.37
2036,98.61,1073.86,1034.26,32152.07,4099.97,7174.68,33194.58,1682.5,8396.76,21852.84,84.46,1041.58,136.44,1042.52
2037,97.94,1066.53,1026.93,32452.06,4092.82,7231.99,33242.42,1692.67,8410.4,21884.29,84.15,1041.28,129.62,790.36
2038,96.8,1054.19,1014.59,32970.24,4082.56,7289.76,33293.5,1703.76,8427.28,21914.78,83.7,1040.85,123.14,323.26
2039,95.48,1039.81,1000.21,33547.31,4071.55,7347.99,33346.38,1715.91,8445.68,21944.19,83.22,1040.39,116.98,-200.93
2040,94.75,1031.82,992.22,33875.31,4064.12,7406.68,33392.63,1725.99,8460.2,21972.33,82.89,1040.08,111.14,-482.67
2041,94.02,1023.91,984.31,34205.53,4056.64,7465.84,33447.1,1731.49,8473.96,22013.74,82.57,1039.77,105.58,-758.43
2042,93.6,1019.31,979.71,34391.88,4051.26,7525.47,33498.42,1735.85,8485.65,22054.74,82.33,1039.55,100.3,-893.47
2043,93.1,1013.82,974.22,34615.82,4045.33,7585.58,33550.08,1740.06,8498.01,22095.36,82.07,1039.3,95.28,-1065.74
2044,92.58,1008.2,968.6,34840.96,4039.37,7646.17,33601.45,1744.03,8510.54,22135.5,81.81,1039.05,90.52,-1239.5
2045,92.07,1002.61,963.01,35067.23,4033.39,7707.24,33652.16,1747.47,8523.15,22175.2,81.55,1038.8,85.99,-1415.07
2046,91.56,997.12,957.52,35294.58,4027.37,7768.8,33701.95,1750.24,8535.77,22214.41,81.29,1038.55,81.69,-1592.63
2047,91.05,991.54,951.94,35523.19,4021.34,7830.85,33751.08,1752.49,8548.55,22253.1,81.02,1038.3,77.61,-1772.11
2048,90.53,985.89,946.29,35752.85,4015.27,7893.4,33799.42,1754.16,8561.47,22291.26,80.76,1038.05,73.73,-1953.43
2049,90.01,980.21,940.61,35983.5,4009.15,7956.45,33846.8,1755.12,8574.51,22328.85,80.49,1037.79,70.04,-2136.71
2050,89.49,974.53,934.93,36215.36,4003,8020,33893.14,1755.33,8587.64,22365.87,80.22,1037.54,66.54,-2322.22
