"WORLD_PRICE","CONSUMER_PRICE","PRODUCER_PRICE","DOMESTIC_PRODUCTION","AREA_PLANTED","YIELD","DOMESTIC_DEMAND","FOOD","PROCESSING","FEED","SEED","LOSS","STOCK_VARIATION","NET_IMPORT"
111.69,1216.28,1176.68,28754.86,4203.77,6840.25,32688.53,1596.44,8258.5,21497.13,89.01,1045.91,201.54,3933.67
111.69,18227.44,18880.24,0.55,0.1,5414.71,1518.57,10.05,297.83,1203.97,0,7.5,-0.78,1518.02
111.69,685169.42,690971.42,8.95,1.5,5984.13,1120.72,10.87,196.94,898.01,0.08,14.4,0.42,1111.77
111.69,2861.33,2487.33,2902.56,727.78,3988.25,4720.1,1812.36,-284.56,2790.81,47.21,348.02,6.26,1817.54
111.69,104.99,129.43,7051.58,902.69,7811.7,7907.87,471.89,1228.55,5990.71,48.06,169.83,-1.17,856.29
111.69,111.69,111.69,23351.05,6613.59,3530.77,30886.82,9677.88,2915.54,16843.67,294.63,1081.51,73.58,7535.77
111.69,112.25,112.25,38546.52,3441.45,11200.66,32478.98,558.3,16355.08,14314.02,83.67,1078.47,89.44,-6067.53
111.69,1715.79,1626.99,6662.52,845.04,7884.22,2345.25,182.19,87.32,1889.86,67.7,106.43,11.74,-4317.27
111.69,579.83,656.83,10446.94,2041.52,5117.25,7342.41,584.02,792.07,5208.01,49.35,675.82,33.14,-3104.53
111.69,1680.44,1598.38,3195.71,546.62,5846.31,685.23,44.13,27.84,518.94,7.49,91.5,-4.68,-2510.48
111.69,8528.85,8242.49,3785.09,1006.51,3760.6,3309.98,1241.01,151.41,1456.51,150.83,294.68,15.55,-475.1
111.69,5082.25,4809.23,1665.31,289.49,5752.48,1367.17,19.96,354.43,944.61,17.6,24.41,6.17,-298.13
