"WORLD_PRICE","CONSUMER_PRICE","PRODUCER_PRICE","DOMESTIC_PRODUCTION","AREA_PLANTED","YIELD","DOMESTIC_DEMAND","FOOD","PROCESSING","FEED","SEED","LOSS","STOCK_VARIATION","NET_IMPORT"
102.51,1116.35,1076.75,32407.54,4147.07,7814.56,32760.08,1618.98,8312.37,21497.13,86.52,1043.54,201.54,352.54
102.51,16729.81,17382.61,0.54,0.1,5414.71,1518.62,10.09,297.83,1203.97,0,7.5,-0.78,1518.08
102.51,628873.32,634675.32,8.81,1.47,5984.13,1120.89,11.05,196.94,898.01,0.08,14.4,0.42,1112.08
102.51,2626.23,2252.23,2864.77,718.3,3988.25,4739.65,1833.46,-284.56,2790.81,46.67,347.01,6.26,1874.88
102.51,96.36,120.8,6976.11,893.03,7811.7,7945.3,472.46,1266.07,5990.71,47.58,169.65,-1.17,969.19
102.51,102.51,102.51,22187.81,6284.13,3530.77,31193.17,9930.03,3008.57,16843.67,282.08,1055.24,73.58,9005.35
102.51,103.02,103.02,37632.18,3359.82,11200.66,32795.33,558.3,16675.19,14314.02,82.21,1076.17,89.44,-4836.85
102.51,1574.82,1486.02,6413.67,813.48,7884.22,2344.62,185.06,87.32,1889.86,66.57,104.07,11.74,-4069.05
102.51,532.19,609.19,10140.04,1981.54,5117.25,7347.81,597.55,792.07,5208.01,47.77,669.27,33.14,-2792.23
102.51,1542.37,1460.3,3147.57,538.39,5846.31,685.54,45.1,27.84,518.94,7.35,90.98,-4.68,-2462.03
102.51,7828.09,7541.73,3742.95,995.31,3760.6,3350.07,1283.54,151.41,1456.51,149.58,293.49,15.55,-392.88
102.51,4664.67,4391.65,1646.36,286.2,5752.48,1367.27,20.29,354.43,944.61,17.44,24.34,6.17,-279.08
