"WORLD_PRICE","CONSUMER_PRICE","PRODUCER_PRICE","DOMESTIC_PRODUCTION","AREA_PLANTED","YIELD","DOMESTIC_DEMAND","FOOD","PROCESSING","FEED","SEED","LOSS","STOCK_VARIATION","NET_IMPORT"
102.72,1118.64,1079.04,32418.1,4148.42,7814.56,32840.47,1618.43,8311.19,21577.1,86.58,1043.6,203.56,422.36
102.72,16764.21,17417.01,0.54,0.1,5414.71,1518.33,10.09,297.83,1203.69,0,7.5,-0.79,1517.79
102.72,630166.61,635968.61,8.82,1.47,5984.13,1120.78,11.04,196.94,897.89,0.08,14.4,0.42,1111.96
102.72,2631.63,2257.63,2865.67,718.53,3988.25,4741.93,1832.95,-284.56,2793.5,46.68,347.03,6.33,1876.25
102.72,96.56,121,6977.9,893.26,7811.7,7940.69,472.44,1265.19,5987,47.59,169.66,-1.18,962.8
102.72,102.72,102.72,22215,6291.83,3530.77,31187.37,9923.92,3006.3,16844.61,282.37,1055.85,74.31,8972.37
102.72,103.24,103.24,37653.84,3361.75,11200.66,32793.58,558.3,16667.39,14319.08,82.25,1076.22,90.34,-4860.26
102.72,1578.05,1489.25,6419.54,814.23,7884.22,2346.4,184.99,87.32,1891.51,66.59,104.13,11.86,-4073.14
102.72,533.29,610.29,10147.25,1982.95,5117.25,7350.6,597.22,792.08,5210.59,47.81,669.43,33.47,-2796.65
102.72,1545.54,1463.48,3148.72,538.58,5846.31,685.71,45.08,27.84,519.17,7.35,90.99,-4.72,-2463
102.72,7844.19,7557.82,3743.96,995.57,3760.6,3349.44,1282.5,151.41,1456.7,149.61,293.52,15.7,-394.51
102.72,4674.27,4401.24,1646.81,286.28,5752.48,1370.83,20.28,356.39,946.14,17.44,24.34,6.24,-275.98
