"WORLD_PRICE","CONSUMER_PRICE","PRODUCER_PRICE","DOMESTIC_PRODUCTION","AREA_PLANTED","YIELD","DOMESTIC_DEMAND","FOOD","PROCESSING","FEED","SEED","LOSS","STOCK_VARIATION","NET_IMPORT"
105.38,1147.54,1107.94,31144.36,4165.23,7477.22,32654.8,1611.7,8294.79,21417.16,87.32,1044.3,199.53,1510.44
105.38,17197.34,17850.14,0.54,0.1,5414.71,1518.89,10.08,297.83,1204.24,0,7.5,-0.77,1518.34
105.38,646447.93,652249.93,8.86,1.48,5984.13,1120.95,10.99,196.93,898.13,0.08,14.4,0.41,1112.09
105.38,2699.62,2325.62,2876.92,721.35,3988.25,4730.59,1826.65,-284.57,2788.12,46.84,347.33,6.2,1853.67
105.38,99.05,123.49,7000.15,896.11,7811.7,7936.8,472.27,1253.81,5994.43,47.73,169.71,-1.16,936.65
105.38,105.38,105.38,22555.31,6388.22,3530.77,31091.64,9848.26,2978.23,16842.72,286.05,1063.54,72.84,8536.33
105.38,105.9,105.9,37923.74,3385.85,11200.66,32686.51,558.3,16571.12,14308.96,82.68,1076.9,88.55,-5237.23
105.38,1618.83,1530.03,6492.77,823.51,7884.22,2343.04,184.13,87.32,1888.21,66.93,104.82,11.62,-4149.73
105.38,547.06,624.06,10237.36,2000.56,5117.25,7343.08,593.16,792.06,5205.43,48.27,671.35,32.8,-2894.28
105.38,1585.48,1503.41,3162.99,541.02,5846.31,685.25,44.79,27.84,518.72,7.39,91.14,-4.63,-2477.74
105.38,8046.85,7760.49,3756.46,998.9,3760.6,3336.68,1269.71,151.41,1456.32,149.98,293.87,15.39,-419.78
105.38,4795.03,4522.01,1652.44,287.26,5752.48,1363.68,20.18,352.46,943.07,17.49,24.36,6.11,-288.76
