"PSURPLUS","DPSURPLUS1","DPSURPLUS2","DPSURPLUS3","DSURPLUS","DDSURPLUS1","DDSURPLUS2","DDSURPLUS3"
"CHN",30686594353.3541,-2984790692.19478,-1987228438.79861,-992527577.486035,-40058484.439511,3261144.9022011,2166011.97453423,1079294.55077127
"JPN",8799926.02436345,-817666.51945903,-544490.171040363,-272029.617478442,-27695664.5562391,2274715.77743816,1510955.54920839,753036.058507551
"KOR",5239926438.96187,-499982653.290608,-332964255.060168,-166364221.748427,-769669160.567581,63103042.7975998,41914443.5895564,20889382.3699491
"MEX",6377762125.15446,-678013272.215353,-451350595.652291,-225435488.996267,-14305696.9373555,1111362.70120779,737642.293259747,367371.241581266
"EUN",789524169.565847,-60532774.4626661,-40264427.0132568,-20132627.5362741,-832658.419030756,68387.7054512531,45406.3522879806,22663.2889178523
"ROW",1634154442.51987,-209054877.937532,-140107412.899409,-70410129.7407039,-3914820.62177077,284827.034479297,189004.557922661,94067.0781439939
"USA",3380381048.37085,-351608161.18436,-234461590.925496,-117500317.94312,-3657232.12276563,300723.85294545,199722.342205375,99698.2654402035
"ARG",7633697749.86269,-921829230.277204,-616251876.461414,-309056153.143159,-4088383.76107024,330387.308902675,219416.085395386,109334.675407106
"BRA",4915368068.92637,-490436650.37156,-327356894.741465,-163961001.878059,-4377354.32377612,349833.88698972,232269.148455416,115732.666102119
"UKR",4373248355.01312,-437981261.069875,-291674302.214787,-145722040.42853,-1176167.16010517,94618.1205665563,62832.9322233291,31302.9817989136
"IND",27707416829.7375,-2637864944.19539,-1755508436.57663,-876532636.22974,-35073025.3999433,2333273.84271946,1546500.96283555,769165.421339739
"RUS",7112648055.34177,-691494334.608689,-460215255.845731,-229791528.896552,-6953139.01663984,569449.32430106,378231.363490356,188501.56392868
