"PSURPLUS","DPSURPLUS1","DPSURPLUS2","DPSURPLUS3","DSURPLUS","DDSURPLUS1","DDSURPLUS2","DDSURPLUS3"
"CHN",30761478387.4635,-2991734253.20369,-1991765754.61327,-994949586.8657,-40139715.5742721,3267617.89527477,2170218.23442539,1081560.70220375
"JPN",8820416.72756894,-819513.672772314,-545712.971256326,-272642.13791455,-27752241.8091839,2279042.8444084,1513809.87378414,754463.216287844
"KOR",5252458322.23586,-501115212.425392,-333716297.755036,-166738883.15238,-771238538.851228,63222643.0132238,41993623.1392109,20928713.8674895
"MEX",6394744740.19127,-679523695.519941,-452358777.436322,-225940218.096916,-14333288.8310971,1113371.24306276,738980.779747452,368040.202168807
"EUN",791002347.103318,-60618397.9427249,-40344881.075961,-20137776.8473345,-834322.48604994,68466.8333971489,45485.5194103745,22663.2506330616
"ROW",1639528544.28232,-209766723.568133,-140510253.988117,-70727691.0429508,-3921927.6552823,285392.079575961,189277.400813209,94358.3746065031
"USA",3389249373.7036,-352195013.91352,-234979483.633503,-117568613.773047,-3664725.7832399,301049.664270418,200048.153530343,99698.2654402035
"ARG",7657093779.67784,-924499629.203895,-617997388.459042,-309932978.853704,-4096604.98415357,331033.880635527,219831.459467765,109542.341543063
"BRA",4927804367.77613,-491714930.947971,-328315097.661499,-164390633.257403,-4386084.73683055,350479.300279173,232772.830353087,115947.756156098
"UKR",4384211604.53739,-438933418.002091,-292320591.788409,-146061612.209859,-1178522.8738061,94799.9257269914,62954.1234360054,31370.4221385202
"IND",27773399700.3183,-2643615665.84291,-1759296916.68922,-878429218.311718,-35130688.980843,2336989.51220667,1548987.80578275,770391.422640889
"RUS",7129936285.22083,-692991840.277763,-461187246.663749,-230286386.35701,-6967306.05986494,570523.414016123,378951.956656006,188868.671907918
