"PSURPLUS","DPSURPLUS1","DPSURPLUS2","DPSURPLUS3","DSURPLUS","DDSURPLUS1","DDSURPLUS2","DDSURPLUS3"
"CHN",30612035153.5061,-2978446399.71296,-1982993083.53488,-990406945.333126,-39977578.2116498,3255324.52240893,2162131.89745364,1077354.6040209
"JPN",8779475.58438315,-815825.905672044,-543268.10884428,-271422.936403472,-27639178.3917174,2270403.89375176,1508101.22087848,751624.087562499
"KOR",5227418000.24868,-498851739.613296,-332213278.45013,-165990048.214714,-768102141.419869,62983565.1990708,41835342.0519762,20850084.2758684
"MEX",6360813798.21016,-676503602.427443,-450371682.575049,-224931008.302091,-14278149.2904224,1109353.77022588,736350.860697835,366702.153557382
"EUN",787973021.046771,-60376667.6235557,-40183498.3664312,-20056973.2711773,-830915.107748524,68229.3359799316,45327.1887654041,22584.085785304
"ROW",1628786932.4876,-208343935.107472,-139479442.113932,-70093061.5584412,-3907712.21313863,284261.895843372,188420.957390851,93775.7106593702
"USA",3371517809.512,-350645346.510143,-233943938.878145,-117049643.496049,-3649738.46229137,300072.230295514,199396.530880407,99372.4541152353
"ARG",7610389474.24088,-919291751.65093,-614509452.046813,-308180866.580633,-4080185.72319458,329787.597476842,219000.683512888,109126.995535308
"BRA",4903045083.82676,-489162379.802491,-326606239.339234,-163532688.956761,-4368696.89949411,349188.320285357,231912.275358761,115517.526768386
"UKR",4362289057.1954,-436966465.667251,-290996584.874964,-145414371.904823,-1173825.06386361,94443.1496894071,62718.5801133211,31256.0877150218
"IND",27641565060.0985,-2632191714.84208,-1751721689.29836,-874674621.061747,-35015443.7398269,2329589.74996965,1544079.58188336,767938.794365746
"RUS",7095381174.9301,-689997375.236936,-459210564.608085,-229296849.70503,-6938999.16488707,568375.223782166,377524.400635681,188148.088734709
